ID,Title,Date,Precise Address
19,School Bus Turns on Side (15 Students Injured),"Jan 20, 2026","Junnar Taluka, near Shivneri Fort, Pune, Maharashtra, India"
20,SUV Overtake Kills Scooterist,"Jan 05, 2026","Hadapsar Flyover, Pune, Maharashtra, India"
21,Gas Tanker Overturn (32-Hour Jam),"Dec 28, 2025","Borghat Section, Mumbai-Pune Expressway, Pune, Maharashtra, India"
22,Hit-and-Run Near Saswad (4 Workers Dead),"Dec 15, 2025","Saswad-Jejuri Road, Pune, Maharashtra, India"
23,Car Goes Off Road Near Otur,"Dec 10, 2025","Kalyan-Ahmednagar Highway, Otur, Pune, Maharashtra, India"
24,PMPML Bus vs Pedestrian (Woman Run Over),"Feb 01, 2026","Vishrantwadi Chowk, Pune, Maharashtra, India"
25,Container Truck Crushes 12-year-old,"Dec 20, 2025","Dehu Road, Pimpri-Chinchwad, Pune, Maharashtra, India"
26,Private Jet Crash (Ajit Pawar Sabotage Angle),"Jan 28, 2026","Baramati Airstrip, Pune, Maharashtra, India"
27,Speeding Dumper vs Bike (Warje),"Nov 15, 2025","Warje Malwadi, Pune, Maharashtra, India"
28,Cement Mixer Truck Overturn,"Nov 20, 2025","Chandni Chowk, Pune, Maharashtra, India"
29,Two-Wheeler Skid (Bad Patch),"Oct 05, 2025","Kharadi-Mundhwa Bridge, Pune, Maharashtra, India"
30,Bus vs Auto Rickshaw (Fatality),"Sep 30, 2025","Swargate Bus Stand Area, Pune, Maharashtra, India"
31,Speeding Car Median Collision,"Sep 15, 2025","Viman Nagar, Pune, Maharashtra, India"
32,Truck Brake Failure (Navale Bridge),"Aug 20, 2025","Katraj-Dehu Road Bypass, Pune, Maharashtra, India"
33,Wrong Side Bike Crash,"Jul 15, 2025","Wagholi, Pune-Ahmednagar Road, Pune, Maharashtra, India"
34,Pothole-related Scooter Accident,"Jul 05, 2025","Yerawada, near Golf Course, Pune, Maharashtra, India"
35,Garbage Van vs Motorcycle,"Jun 20, 2025","Dhanori-Lohegaon Road, Pune, Maharashtra, India"
36,High-Speed Sedan Crash,"May 30, 2025","Senapati Bapat Road, Pune, Maharashtra, India"
37,Heavy Vehicle Entry Violation (Collision),"May 10, 2025","Baner-Balewadi Phata, Pune, Maharashtra, India"
38,Inter-City Bus Collision,"Apr 15, 2025","Pune-Nashik Highway, Bhosari, Pune, Maharashtra, India"
39,Drunk Driver vs Police Barrier,"Apr 01, 2025","Koregaon Park Lane 7, Pune, Maharashtra, India"
40,Pedestrian Fatality (Hit by Tempo),"Mar 15, 2025","Shivajinagar Court Road, Pune, Maharashtra, India"
41,Container vs Car (Expressway),"Mar 05, 2025","Urse Toll Naka, Mumbai-Pune Expressway, Pune, Maharashtra, India"
42,Bike Skid on Oil Spill,"Feb 20, 2025","Magarpatta City North Gate, Pune, Maharashtra, India"
43,Auto Rickshaw Overturn,"Feb 05, 2025","Station Road, Pune, Maharashtra, India"
44,Speeding SUV vs Electric Pole,"Jan 25, 2025","Pimple Saudagar, Pune, Maharashtra, India"
45,Morning Walker Hit-and-Run,"Jan 10, 2025","University Road, Pune, Maharashtra, India"
46,Tractor vs Motorcycle (Rural),"Dec 25, 2024","Paud Road, Mulshi, Pune, Maharashtra, India"
47,Nighttime Collision (Drunken Driving),"Dec 15, 2024","Camp Area (MG Road), Pune, Maharashtra, India"
48,Two-Wheeler Under Truck Wheels,"Nov 25, 2024","Akurdi, Pimpri-Chinchwad, Pune, Maharashtra, India"
49,Car Plunges into Canal,"Nov 10, 2024","Hadapsar-Saswad Canal Road, Pune, Maharashtra, India"
50,Heavy Dumper vs Office Commuter,"Oct 25, 2024","Hinjewadi Phase 3, Pune, Maharashtra, India"
