ID,Title,Date,Precise Address
161,Car vs Truck Rear-end (Expressway),"Mar 05, 2024","Near Lonavala Exit, Pune, Maharashtra, India"
162,Two-Wheeler Run Over (Chakan),"Feb 22, 2024","Chakan-Ambethan Road, Pune, Maharashtra, India"
163,Private Bus Brake Failure,"Feb 12, 2024","Katraj Ghat Section, Pune, Maharashtra, India"
164,Auto Rickshaw Overturn (Station),"Jan 28, 2024","Near Pune Railway Station, Pune, Maharashtra, India"
165,Wrong-Side Bike Collision,"Jan 15, 2024","Hinjewadi Phase 1, Shivaji Chowk, Pune, Maharashtra, India"
166,Dumper vs Motorcycle (Pimpri),"Dec 30, 2023","Pimpri Grade Separator Road, Pune, Maharashtra, India"
167,Car Median Collision (Baner),"Dec 15, 2023","Baner-Balewadi Road, Pune, Maharashtra, India"
168,Truck vs Jeep (Rural),"Nov 30, 2023","Pune-Paud Road, Mulshi, Pune, Maharashtra, India"
169,Two-Wheeler Under Truck (Hadapsar),"Nov 18, 2023","Hadapsar Flyover, Pune, Maharashtra, India"
170,Hit-and-Run (University Road),"Nov 05, 2023","Near Raj Bhavan Gate, Pune, Maharashtra, India"
171,Car vs Electric Pole (Viman Nagar),"Oct 25, 2023","Datta Mandir Chowk, Viman Nagar, Pune, Maharashtra, India"
172,Bus Overturn (Bhor),"Oct 10, 2023","Varandha Ghat Road, Bhor, Pune, Maharashtra, India"
173,Bike vs Pedestrian (Shivajinagar),"Sep 28, 2023","J.M. Road, Pune, Maharashtra, India"
174,Tanker vs Auto (Loni Kalbhor),"Sep 15, 2023","Pune-Solapur Road, Pune, Maharashtra, India"
175,Motorcycle Skid on Sand,"Sep 02, 2023","Wakad-Hinjewadi Road, Pune, Maharashtra, India"
176,Car Plunges into Gutter,"Aug 20, 2023","Dhanori-Lohegaon Road, Pune, Maharashtra, India"
177,Truck vs Car (Expressway),"Aug 05, 2023","Urse Toll Naka, Pune side, Maharashtra, India"
178,Two-Wheeler Hit-and-Run (Kothrud),"Jul 25, 2023","Chandni Chowk, Pune, Maharashtra, India"
179,School Bus Median Crash,"Jul 12, 2023","Kondhwa-Katraj Road, Pune, Maharashtra, India"
180,Motorcycle vs Dumper (Wagholi),"Jun 30, 2023","Bakori Phata, Wagholi, Pune, Maharashtra, India"
181,Car Hits Divider (Hinjewadi),"Jun 15, 2023","Near Infosys Phase 2, Hinjewadi, Pune, Maharashtra, India"
182,PMPML Bus Brake Failure,"Jun 02, 2023","Shaniwar Wada Frontage, Pune, Maharashtra, India"
183,Truck Overturn (Khed Shivapur),"May 20, 2023","Pune-Satara Road, Pune, Maharashtra, India"
184,Two-Wheeler Fatality (Akurdi),"May 05, 2023","Khandoba Mal, Akurdi, Pune, Maharashtra, India"
185,Speeding Sedan vs Auto,"Apr 25, 2023","Fatima Nagar Chowk, Pune, Maharashtra, India"
186,Highway Barrier Crash,"Apr 10, 2023","Somatane Phata, Mumbai-Pune Expressway, Pune, Maharashtra, India"
187,Motorcycle vs Truck (Nashik Highway),"Mar 30, 2023","Moshi-Chakan Road, Pune, Maharashtra, India"
188,Hit-and-Run (Camp),"Mar 15, 2023","M.G. Road near West End, Pune, Maharashtra, India"
189,Car vs Pedestrian (Aundh),"Feb 28, 2023","Bremen Chowk, Aundh, Pune, Maharashtra, India"
190,Bus vs Two-Wheeler (Bibwewadi),"Feb 12, 2023","Bibwewadi-Kondhwa Road, Pune, Maharashtra, India"
191,Tanker vs Car (Solapur Road),"Jan 30, 2023","Manjari Phata, Pune, Maharashtra, India"
192,Motorcycle Skid (Morning Fog),"Jan 15, 2023","Pimple Saudagar-Rakshak Chowk, Pune, Maharashtra, India"
193,Truck Hits Walk-over Bridge,"Dec 28, 2022","Wadgaon Sheri, Pune-Ahmednagar Road, Pune, Maharashtra, India"
194,Drunk Driver Hit-and-Run,"Dec 15, 2022","Kalyani Nagar Lane 7, Pune, Maharashtra, India"
195,Two-Wheeler Fatal (Dehu Road),"Nov 30, 2022","Dehu Road Cantonment Area, Pune, Maharashtra, India"
196,Car Plunges into Ditch,"Nov 15, 2022","Pirangut Road, Mulshi, Pune, Maharashtra, India"
197,Multi-vehicle Pileup (Navale Bridge),"Nov 02, 2022","Katraj-Dehu Road Bypass, Pune, Maharashtra, India"
198,Bus vs Truck (Expressway),"Oct 25, 2022","Bhor Ghat, Pune side, Maharashtra, India"
199,Motorcycle vs Auto (Sangvi),"Oct 10, 2022","Famous Chowk, New Sangvi, Pune, Maharashtra, India"
200,Speeding Car Hits Barrier,"Sep 28, 2022","Pashan-Wakad Highway Bridge, Pune, Maharashtra, India"
