ID,Title,Date,Precise Address
420,Khadki Underpass Scooter Trap,"Jun 15, 2022","Khadki Railway Underpass, Pune, Maharashtra, India"
421,Punawale Underpass Heavy Vehicle Jam,"Jul 30, 2025","Punawale-Highway Underpass, Pune, Maharashtra, India"
422,Talawade-Triveni Nagar Truck Crash,"Jan 14, 2026","Triveni Nagar Chowk, Nigdi-Talawade, Pune, Maharashtra, India"
423,Viman Nagar Audi Hit-and-Run,"Oct 12, 2024","Mundhwa-Koregaon Park Road, Pune, Maharashtra, India"
424,Urse Toll Plaza Pileup (Fog),"Dec 20, 2025","Mumbai-Pune Expressway, Urse, Pune, Maharashtra, India"
425,University Chowk Pedestrian Hit,"Feb 02, 2026","Aundh Road-University Junction, Pune, Maharashtra, India"
426,Saswad-Jejuri Rural Jeep Crash,"Dec 15, 2024","Jejuri Road, Saswad, Pune, Maharashtra, India"
427,Tamhini Ghat SUV Gorge Fall,"Dec 05, 2025","Tamhini Ghat Main Curve, Mulshi, Pune, Maharashtra, India"
428,Koregaon Park Tree Fall Fatality,"Aug 12, 2025","North Main Road, Koregaon Park, Pune, Maharashtra, India"
429,Pashan-Sus Road High Speed Crash,"Nov 30, 2025","Pashan-Sus Link Road, Pune, Maharashtra, India"
430,Bibwewadi Senior Citizen Hit,"Jul 15, 2024","Bibwewadi-Kondhwa Road, Pune, Maharashtra, India"
431,Moshi Alandi Road SUV vs Rickshaw,"Jan 10, 2026","Moshi-Alandi Road, Pimpri-Chinchwad, Pune, Maharashtra, India"
432,Warje Flyover Night Speeding Crash,"Jan 10, 2025","Mumbai-Bengaluru Highway, Warje, Pune, Maharashtra, India"
433,S.B. Road Luxury Sedan Divider Hit,"Nov 15, 2025","Senapati Bapat Road, Near Marriott, Pune, Maharashtra, India"
434,Katraj Tunnel MSRTC Median Crash,"Jan 05, 2026","Katraj Tunnel Approach, Pune, Maharashtra, India"
435,Balewadi High Street Electric Pole Hit,"Jul 28, 2025","Balewadi High Street, Pune, Maharashtra, India"
436,Dhayari Phata School Van Collision,"Aug 05, 2025","Sinhagad Road, Dhayari, Pune, Maharashtra, India"
437,Loni Kalbhor Canal Road Car Plunge,"Sep 15, 2025","Loni Kalbhor Canal, Pune, Maharashtra, India"
438,Model Colony Deep Bungalow Hit,"May 25, 2025","Deep Bungalow Chowk, Pune, Maharashtra, India"
439,Wadgaon Sheri Bridge Pillar Hit,"Mar 15, 2023","Pune-Ahmednagar Road, Wadgaon Sheri, Pune, Maharashtra, India"
440,Bhor Varandha Ghat Bus Overturn,"Oct 10, 2023","Varandha Ghat Road, Bhor, Pune, Maharashtra, India"
441,Kalyani Nagar Lane 7 Drunk Crash,"Dec 15, 2022","Lane 7, Kalyani Nagar, Pune, Maharashtra, India"
442,New Sangvi Famous Chowk Rickshaw,"Oct 10, 2022","New Sangvi, Pune, Maharashtra, India"
443,Hinjewadi Phase 3 Wrong Side Car,"Jan 10, 2025","Phase 3 Main Road, Hinjewadi, Pune, Maharashtra, India"
444,Fatima Nagar Chowk Sedan vs Auto,"Apr 25, 2023","Solapur Road, Fatima Nagar, Pune, Maharashtra, India"
445,Kamshet Tunnel Rear-end Collision,"Dec 12, 2024","Mumbai-Pune Expressway, Kamshet, Pune, Maharashtra, India"
446,Chakan-Talegaon Road Tanker Hit,"Feb 05, 2025","Talegaon Road, Chakan, Pune, Maharashtra, India"
447,Manjari Phata Tanker vs Car,"Jan 30, 2023","Pune-Solapur Road, Manjari, Pune, Maharashtra, India"
448,Rakshak Chowk Fog Induced Skid,"Jan 15, 2023","Pimple Saudagar, Pune, Maharashtra, India"
449,Pirangut Road Ditch Plunge,"Nov 15, 2022","Mulshi-Pirangut Road, Pune, Maharashtra, India"
450,Sangamwadi Bridge Wall Collision,"Oct 25, 2025","Sangamwadi-Yerawada Bridge, Pune, Maharashtra, India"
451,Khandala Ghat Tanker Gas Leak,"Feb 04, 2026","Expressway Ghat Section, Pune, Maharashtra, India"
452,Nalge Vasti Shirur Truck-Car,"Feb 14, 2026","Nhavare-Chaufula Road, Shirur, Pune, Maharashtra, India"
453,Wagholi Phata Triple Fatality,"Feb 01, 2026","Pune-Ahmednagar Road, Wagholi, Pune, Maharashtra, India"
454,Phase 3 Flyover IT Biker Skid,"Jan 15, 2026","Hinjewadi Flyover, Pune, Maharashtra, India"
455,Pune-Nashik Highway Wrong-Side,"Dec 08, 2025","Bhosari Sector, Pune-Nashik Road, Pune, Maharashtra, India"
456,Phursungi IT Park Dumper-Bicycle,"Nov 22, 2025","Phursungi Main Road, Pune, Maharashtra, India"
457,Hadapsar-Solapur Tempo Overtake,"Nov 05, 2025","Solapur Highway, Hadapsar, Pune, Maharashtra, India"
458,Nal Stop Chowk Garbage Compactor,"Oct 18, 2025","Karve Road, Pune, Maharashtra, India"
459,Khed Shivapur Tanker-Bus Head-on,"Oct 10, 2025","Pune-Satara Road, Khed Shivapur, Pune, Maharashtra, India"
460,Phoenix Mall Viman Nagar Hit,"Sep 28, 2025","Viman Nagar, Pune, Maharashtra, India"
461,Keshav Nagar Pothole Fall,"Aug 30, 2025","Mundhwa-Manjari Road, Pune, Maharashtra, India"
462,Chikhali Indramani Bridge Crash,"Jun 16, 2025","Chikhali-Pimpri Road, Pune, Maharashtra, India"
463,Magarpatta North Gate Oil Spill,"Jun 10, 2025","Magarpatta City, Hadapsar, Pune, Maharashtra, India"
464,Borghat Container Jackknife,"May 15, 2025","Expressway Ghats, Pune-Mumbai, Maharashtra, India"
465,Lexicon School Wagholi Dumper,"May 02, 2025","Nagar Road, Wagholi, Pune, Maharashtra, India"
466,Pimple Saudagar Electric Pole Hit,"Apr 20, 2025","Shivar Garden Road, Pune, Maharashtra, India"
467,Swargate Bus Stand Auto Overturn,"Apr 10, 2025","Satara Road Exit, Swargate, Pune, Maharashtra, India"
468,Baner Phata Peak-Hour Truck Hit,"Mar 25, 2025","Baner Main Road, Pune, Maharashtra, India"
469,Landewadi Chowk Pedestrian Hit,"Feb 28, 2025","Bhosari, Pune, Maharashtra, India"
470,Goodluck Chowk FC Road Drunk Crash,"Feb 18, 2025","Fergusson College Road, Pune, Maharashtra, India"
471,Yavat SUV Overtake Crash,"Jan 22, 2025","Pune-Solapur Highway, Yavat, Pune, Maharashtra, India"
472,Race Course Road Hit-and-Run,"Dec 30, 2024","Camp Area, Pune, Maharashtra, India"
473,Ambegaon Drunk Driver Food Stall,"Dec 22, 2024","Katraj-Dehu Road Bypass, Pune, Maharashtra, India"
474,Vishrantwadi Chowk Bus Fatality,"Nov 30, 2024","Alandi Road Junction, Pune, Maharashtra, India"
475,Kalyani Nagar Porsche Crash,"May 19, 2024","Kalyani Nagar Junction, Pune, Maharashtra, India"
476,Paud Road Bhugaon Head-on,"Sep 15, 2024","Paud Road, Mulshi, Pune, Maharashtra, India"
477,Law College Road Wet Skid,"Aug 20, 2024","Law College Road, Pune, Maharashtra, India"
478,Alandi Road Kalas Dumper Hit,"Aug 10, 2024","Alandi Road, Kalas, Pune, Maharashtra, India"
479,World Trade Center Kharadi Crash,"Jul 25, 2024","Mundhwa-Kharadi Road, Pune, Maharashtra, India"
480,Amrutanjan Bridge Tanker Overturn,"Jun 30, 2024","Expressway Ghat, Pune side, Maharashtra, India"
481,Sangamwadi-Yerawada Bridge Plunge,"May 10, 2024","Sangamwadi, Pune, Maharashtra, India"
482,Shikrapur Nagar Road Truck-Car,"Apr 30, 2024","Pune-Ahmednagar Road, Shikrapur, Pune, Maharashtra, India"
483,Jedhe Chowk Bus vs Rickshaw,"Mar 30, 2024","Swargate, Pune, Maharashtra, India"
484,Balajinagar Hit-and-Run,"Mar 20, 2024","Satara Road, Pune, Maharashtra, India"
485,Chakan-Ambethan Two-Wheeler Hit,"Feb 22, 2024","Chakan Industrial Zone, Pune, Maharashtra, India"
486,Pune Station Auto Overturn,"Jan 28, 2024","Main Exit, Pune Railway Station, Pune, Maharashtra, India"
487,Shivaji Chowk Hinjewadi Wrong-Side,"Jan 15, 2024","Phase 1, Hinjewadi, Pune, Maharashtra, India"
488,Baner-Balewadi Median Collision,"Dec 15, 2023","Balewadi Road, Pune, Maharashtra, India"
489,Mulshi Pune-Paud Jeep Hit,"Nov 30, 2023","Paud Road, Mulshi, Pune, Maharashtra, India"
490,Hadapsar Flyover Two-Wheeler Fatal,"Nov 18, 2023","Solapur Road Flyover, Pune, Maharashtra, India"
491,Raj Bhavan Gate Hit-and-Run,"Nov 05, 2023","University Road, Pune, Maharashtra, India"
492,Viman Nagar Datta Mandir Crash,"Oct 25, 2023","Viman Nagar, Pune, Maharashtra, India"
493,J.M. Road Pedestrian Bike Hit,"Sep 28, 2023","Shivajinagar, Pune, Maharashtra, India"
494,Wakad-Hinjewadi Sand Skid,"Sep 02, 2023","Wakad Road, Pune, Maharashtra, India"
495,Dhanori-Lohegaon Gutter Plunge,"Aug 20, 2023","Lohegaon Road, Pune, Maharashtra, India"
496,Chandni Chowk Hit-and-Run,"Jul 25, 2023","Kothrud Bypass, Pune, Maharashtra, India"
497,Moshi-Chakan Truck-Bike,"Jun 12, 2023","Nashik Highway, Moshi, Pune, Maharashtra, India"
498,Bremen Chowk Car vs Pedestrian,"Feb 28, 2023","Aundh, Pune, Maharashtra, India"
499,Kirloskar Company Jejuri Crash,"Jun 18, 2025","Jejuri-Morgaon Road, Pune, Maharashtra, India"
500,Wadgaon Bridge 25-Vehicle Pileup,"Nov 13, 2025","Navale Bridge Bypass, Pune, Maharashtra, India"
