ID,Title,Date,Precise Address
386,Highway Barrier Crash (Somatane),"Jun 25, 2023","Old Mumbai-Pune Highway, Pune, Maharashtra, India"
387,Motorcycle vs Truck (Moshi),"Jun 12, 2023","Moshi-Chakan Road, Pune, Maharashtra, India"
388,Hit-and-Run (MG Road),"May 30, 2023","Camp, Pune, Maharashtra, India"
389,Car vs Pedestrian (Aundh),"May 15, 2023","Bremen Chowk, Pune, Maharashtra, India"
390,Bus vs Two-Wheeler (Kondhwa),"Apr 30, 2023","Bibwewadi-Kondhwa Road, Pune, Maharashtra, India"
391,Tanker vs Car (Manjari),"Apr 15, 2023","Pune-Solapur Road, Pune, Maharashtra, India"
392,Motorcycle Skid (Morning Fog),"Mar 30, 2023","Rakshak Chowk, Pune, Maharashtra, India"
393,Truck Hits Walk-over Bridge,"Mar 15, 2023","Wadgaon Sheri, Pune, Maharashtra, India"
394,Drunk Driver Hit-and-Run (Lane 7),"Feb 28, 2023","Kalyani Nagar, Pune, Maharashtra, India"
395,Two-Wheeler Fatal (Cantonment),"Feb 12, 2023","Dehu Road Area, Pune, Maharashtra, India"
396,Car Plunges into Ditch (Pirangut),"Jan 30, 2023","Mulshi Road, Pune, Maharashtra, India"
397,Multi-vehicle Pileup (Bypass),"Jan 15, 2023","Navale Bridge, Pune, Maharashtra, India"
398,Bus vs Truck (Bhor Ghat),"Dec 28, 2022","Mumbai-Pune Expressway, Pune, Maharashtra, India"
399,Motorcycle vs Auto (New Sangvi),"Dec 15, 2022","Famous Chowk, Pune, Maharashtra, India"
400,Speeding Car Hits Barrier (Highway),"Nov 30, 2022","Pashan-Wakad Highway, Pune, Maharashtra, India"
