ID,Title,Date,Precise Address
222,Auto Rickshaw vs SUV,"Nov 02, 2025","Near Pune Railway Station South Gate, Pune, Maharashtra, India"
223,Two-Wheeler Fatality (No Helmet),"Oct 20, 2025","Bibwewadi-Kondhwa Road, Pune, Maharashtra, India"
224,Car Hits Pedestrian at Zebra Crossing,"Oct 12, 2025","University Chowk, Ganeshkhind Road, Pune, Maharashtra, India"
225,Multi-Vehicle Pileup (Rain-Slicked),"Sep 30, 2025","Near Urse Toll Naka, Expressway, Pune, Maharashtra, India"
226,Speeding Bike vs Median,"Sep 15, 2025","Kharadi-Mundhwa Bridge, Pune, Maharashtra, India"
227,Truck vs Car (Rear-end),"Sep 01, 2025","Near Somatane Phata, Old Highway, Pune, Maharashtra, India"
228,Pedestrian Fatality (Akurdi),"Aug 22, 2025","Near Akurdi Railway Station, Pimpri-Chinchwad, Pune, Maharashtra, India"
229,Scooter vs PMPML Bus,"Aug 10, 2025","Near Shaniwar Wada, Pune, Maharashtra, India"
230,Car vs Electric Pole,"Jul 28, 2025","Balewadi High Street, Pune, Maharashtra, India"
231,Delivery Executive Fatality,"Jul 15, 2025","Viman Nagar near Symbiosis Law School, Pune, Maharashtra, India"
232,Hit-and-Run (Night Patrol Victim),"Jun 30, 2025","Baner-Pashan Link Road, Pune, Maharashtra, India"
233,Heavy Vehicle Peak Hour Crash,"Jun 18, 2025","Chandni Chowk, Pune, Maharashtra, India"
234,Two-Wheeler Skid on Oil Spill,"Jun 05, 2025","Magarpatta City Main Road, Pune, Maharashtra, India"
235,MSRTC Bus vs Private Car,"May 25, 2025","Pune-Solapur Highway, near Hadapsar, Pune, Maharashtra, India"
236,Speeding Sedan Median Crash,"May 12, 2025","Karve Road, near Deccan Gymkhana, Pune, Maharashtra, India"
237,Dumper Truck vs Cyclist,"May 01, 2025","Chakan-Ambethan Road, Pune, Maharashtra, India"
238,SUV vs Auto Rickshaw,"Apr 20, 2025","Swargate underpass, Pune, Maharashtra, India"
239,Motorcycle vs Divider,"Apr 05, 2025","Model Colony, near Deep Bungalow Chowk, Pune, Maharashtra, India"
240,Truck Overturn (Gridlock),"Mar 25, 2025","Katraj-Dehu Road Bypass near Ambegaon, Pune, Maharashtra, India"
241,Pedestrian Hit (Elderly Woman),"Mar 12, 2025","JM Road near Bal Gandharva, Pune, Maharashtra, India"
242,Car Plunges into Canal,"Mar 02, 2025","Lonikand-Shikrapur Road, Pune, Maharashtra, India"
243,Two-Wheeler Run Over by Tanker,"Feb 20, 2025","Moshi High Street, Pimpri-Chinchwad, Pune, Maharashtra, India"
244,Hit-and-Run (Morning Walker),"Feb 05, 2025","Koregaon Park Lane 1, Pune, Maharashtra, India"
245,Highway Barrier Crash (Expressway),"Jan 25, 2025","Khalapur Section (Pune side), Maharashtra, India"
246,Wrong Side Bike Collision,"Jan 10, 2025","Hinjewadi Phase 3 Road, Pune, Maharashtra, India"
247,Drunk Driving Fatality,"Dec 28, 2024","Camp, near West End Cinema, Pune, Maharashtra, India"
248,Truck vs Jeep (Rural),"Dec 15, 2024","Saswad-Jejuri Road, Pune, Maharashtra, India"
249,Bus vs Scooterist,"Dec 01, 2024","Sangamwadi Bridge, Pune, Maharashtra, India"
250,Multi-Car Pileup (Fog),"Nov 20, 2024","Talegaon Dabhade, Expressway, Pune, Maharashtra, India"
251,Auto Rickshaw Overturn,"Nov 08, 2024","Market Yard Chowk, Pune, Maharashtra, India"
252,Speeding Car Hits Barrier,"Oct 25, 2024","Bavdhan Flyover, Pune, Maharashtra, India"
253,Motorcycle vs Divider (Speeding),"Oct 10, 2024","Kothrud, near Vanaz Metro, Pune, Maharashtra, India"
254,Luxury Bus Brake Failure,"Sep 25, 2024","Katraj Ghat Section, Pune, Maharashtra, India"
255,Pedestrian Fatality (Bhosari),"Sep 12, 2024","Pune-Nashik Highway, Bhosari, Pune, Maharashtra, India"
256,Car vs Truck (Expressway),"Aug 28, 2024","Lonavala Exit, Pune side, Maharashtra, India"
257,Two-Wheeler Fatality (Wagholi),"Aug 15, 2024","Near Ivy Estate, Nagar Road, Pune, Maharashtra, India"
258,Hit-and-Run (Delivery Boy),"Aug 01, 2024","Mundhwa-Kharadi Road, Pune, Maharashtra, India"
259,Bus vs Two-Wheeler (Swargate),"Jul 18, 2024","Jedhe Chowk, Swargate, Pune, Maharashtra, India"
260,Speeding Sedan Median Crash,"Jul 05, 2024","Viman Nagar near Phoenix Mall, Pune, Maharashtra, India"
261,Motorcycle vs Divider (Baner),"Jun 20, 2024","Baner-Balewadi Road, Pune, Maharashtra, India"
262,Truck vs Car (Shikrapur),"Jun 05, 2024","Pune-Ahmednagar Highway, Shikrapur, Pune, Maharashtra, India"
263,Two-Wheeler Pothole Fall,"May 25, 2024","Yerawada, near Golf Course Road, Pune, Maharashtra, India"
264,Speeding Car (Pune Station),"May 10, 2024","Near Pune Railway Station, Pune, Maharashtra, India"
265,Bus Accident (Old Highway),"Apr 25, 2024","Dehu Road Cantonment, Pune, Maharashtra, India"
266,Hit-and-Run (Kondhwa),"Apr 10, 2024","Jyoti Chowk, Kondhwa, Pune, Maharashtra, India"
267,Motorcycle vs Dumper (Pimpri),"Mar 25, 2024","Pimpri Grade Separator Road, Pune, Maharashtra, India"
268,Car Median Collision (Baner),"Mar 10, 2024","Baner-Pashan Link Road, Pune, Maharashtra, India"
269,Truck vs Jeep (Mulshi),"Feb 25, 2024","Pune-Paud Road, Mulshi, Pune, Maharashtra, India"
270,Two-Wheeler Under Truck (Hadapsar),"Feb 10, 2024","Hadapsar Flyover, Pune, Maharashtra, India"
271,Hit-and-Run (University Road),"Jan 25, 2024","Near Raj Bhavan Gate, Pune, Maharashtra, India"
272,Car vs Electric Pole (Viman Nagar),"Jan 10, 2024","Datta Mandir Chowk, Viman Nagar, Pune, Maharashtra, India"
273,Bus Overturn (Bhor),"Dec 28, 2023","Varandha Ghat Road, Bhor, Pune, Maharashtra, India"
274,Bike vs Pedestrian (Shivajinagar),"Dec 15, 2023","J.M. Road, Pune, Maharashtra, India"
275,Tanker vs Auto (Loni Kalbhor),"Dec 01, 2023","Pune-Solapur Road, Pune, Maharashtra, India"
276,Motorcycle Skid on Sand,"Nov 18, 2023","Wakad-Hinjewadi Road, Pune, Maharashtra, India"
277,Car Plunges into Gutter,"Nov 05, 2023","Dhanori-Lohegaon Road, Pune, Maharashtra, India"
278,Truck vs Car (Expressway),"Oct 25, 2023","Urse Toll Naka, Pune side, Maharashtra, India"
279,Two-Wheeler Hit-and-Run (Kothrud),"Oct 12, 2023","Chandni Chowk, Pune, Maharashtra, India"
280,School Bus Median Crash,"Sep 28, 2023","Kondhwa-Katraj Road, Pune, Maharashtra, India"
281,Motorcycle vs Dumper (Wagholi),"Sep 15, 2023","Bakori Phata, Wagholi, Pune, Maharashtra, India"
282,Car Hits Divider (Hinjewadi),"Sep 02, 2023","Near Infosys Phase 2, Hinjewadi, Pune, Maharashtra, India"
283,PMPML Bus Brake Failure,"Aug 20, 2023","Shaniwar Wada Frontage, Pune, Maharashtra, India"
284,Truck Overturn (Khed Shivapur),"Aug 05, 2023","Pune-Satara Road, Pune, Maharashtra, India"
285,Two-Wheeler Fatality (Akurdi),"Jul 22, 2023","Khandoba Mal, Akurdi, Pune, Maharashtra, India"
286,Speeding Sedan vs Auto,"Jul 10, 2023","Fatima Nagar Chowk, Pune, Maharashtra, India"
287,Highway Barrier Crash,"Jun 25, 2023","Somatane Phata, Mumbai-Pune Expressway, Pune, Maharashtra, India"
288,Motorcycle vs Truck (Nashik Highway),"Jun 12, 2023","Moshi-Chakan Road, Pune, Maharashtra, India"
289,Hit-and-Run (Camp),"May 30, 2023","M.G. Road near West End, Pune, Maharashtra, India"
290,Car vs Pedestrian (Aundh),"May 15, 2023","Bremen Chowk, Aundh, Pune, Maharashtra, India"
291,Bus vs Two-Wheeler (Bibwewadi),"Apr 30, 2023","Bibwewadi-Kondhwa Road, Pune, Maharashtra, India"
292,Tanker vs Car (Solapur Road),"Apr 15, 2023","Manjari Phata, Pune, Maharashtra, India"
293,Motorcycle Skid (Morning Fog),"Mar 30, 2023","Pimple Saudagar-Rakshak Chowk, Pune, Maharashtra, India"
294,Truck Hits Walk-over Bridge,"Mar 15, 2023","Wadgaon Sheri, Nagar Road, Pune, Maharashtra, India"
295,Drunk Driver Hit-and-Run,"Feb 28, 2023","Kalyani Nagar Lane 7, Pune, Maharashtra, India"
296,Two-Wheeler Fatal (Dehu Road),"Feb 12, 2023","Dehu Road Cantonment Area, Pune, Maharashtra, India"
297,Car Plunges into Ditch,"Jan 30, 2023","Pirangut Road, Mulshi, Pune, Maharashtra, India"
298,Multi-vehicle Pileup (Navale Bridge),"Jan 15, 2023","Katraj-Dehu Road Bypass, Pune, Maharashtra, India"
299,Bus vs Truck (Expressway),"Dec 28, 2022","Bhor Ghat, Pune side, Maharashtra, India"
300,Motorcycle vs Auto (Sangvi),"Dec 15, 2022","Famous Chowk, New Sangvi, Pune, Maharashtra, India"
