title,date,location,year,month,season
Wrong Side Bike Crash,2025-07-15,"Wagholi, Pune-Ahmednagar Road, Pune, Maharashtra, India",2025,7,Monsoon
Pothole-related Scooter Accident,2025-07-05,"Yerawada, near Golf Course, Pune, Maharashtra, India",2025,7,Monsoon
Garbage Van vs Motorcycle,2025-06-20,"Dhanori-Lohegaon Road, Pune, Maharashtra, India",2025,6,Monsoon
High-Speed Sedan Crash,2025-05-30,"Senapati Bapat Road, Pune, Maharashtra, India",2025,5,Summer
Heavy Vehicle Entry Violation (Collision),2025-05-10,"Baner-Balewadi Phata, Pune, Maharashtra, India",2025,5,Summer
Inter-City Bus Collision,2025-04-15,"Pune-Nashik Highway, Bhosari, Pune, Maharashtra, India",2025,4,Summer
Drunk Driver vs Police Barrier,2025-04-01,"Koregaon Park Lane 7, Pune, Maharashtra, India",2025,4,Summer
Pedestrian Fatality (Hit by Tempo),2025-03-15,"Shivajinagar Court Road, Pune, Maharashtra, India",2025,3,Summer
Container vs Car (Expressway),2025-03-05,"Urse Toll Naka, Mumbai-Pune Expressway, Pune, Maharashtra, India",2025,3,Summer
Bike Skid on Oil Spill,2025-02-20,"Magarpatta City North Gate, Pune, Maharashtra, India",2025,2,Winter
Auto Rickshaw Overturn,2025-02-05,"Station Road, Pune, Maharashtra, India",2025,2,Winter
Speeding SUV vs Electric Pole,2025-01-25,"Pimple Saudagar, Pune, Maharashtra, India",2025,1,Winter
Morning Walker Hit-and-Run,2025-01-10,"University Road, Pune, Maharashtra, India",2025,1,Winter
Tractor vs Motorcycle (Rural),2024-12-25,"Paud Road, Mulshi, Pune, Maharashtra, India",2024,12,Winter
Nighttime Collision (Drunken Driving),2024-12-15,"Camp Area (MG Road), Pune, Maharashtra, India",2024,12,Winter
Two-Wheeler Under Truck Wheels,2024-11-25,"Akurdi, Pimpri-Chinchwad, Pune, Maharashtra, India",2024,11,Winter
Car Plunges into Canal,2024-11-10,"Hadapsar-Saswad Canal Road, Pune, Maharashtra, India",2024,11,Winter
Heavy Dumper vs Office Commuter,2024-10-25,"Hinjewadi Phase 3, Pune, Maharashtra, India",2024,10,Winter
Multi-vehicle Pileup (Foggy conditions),2026-01-05,"Talegaon Dabhade, Pune, Maharashtra, India",2026,1,Winter
Tempo Traveller vs Container,2025-12-12,"Kamshet, Old Mumbai-Pune Highway, Pune, Maharashtra, India",2025,12,Winter
Speeding Bike Median Crash,2025-11-28,"Karve Road, Pune, Maharashtra, India",2025,11,Winter
School Van Collision,2025-11-18,"Bibwewadi, Pune, Maharashtra, India",2025,11,Winter
Milk Tanker Overturn,2025-10-30,"Shirur Highway, Pune, Maharashtra, India",2025,10,Winter
Car vs Pedestrian (Senior Citizen),2025-10-15,"Model Colony, Pune, Maharashtra, India",2025,10,Winter
Luxury Car Hit-and-Run,2025-09-22,"NIBM Road, Kondhwa, Pune, Maharashtra, India",2025,9,Monsoon
Bike vs PMPML Bus,2025-09-08,"Shaniwar Peth, Pune, Maharashtra, India",2025,9,Monsoon
Gas Cylinder Truck Accident,2025-08-25,"Chakan-Talegaon Road, Pune, Maharashtra, India",2025,8,Monsoon
Highway Highway Barrier Crash,2025-08-10,"Kiwale, Mumbai-Pune Expressway, Pune, Maharashtra, India",2025,8,Monsoon
Two-Wheeler Pothole Fatality,2025-07-28,"Keshav Nagar, Mundhwa, Pune, Maharashtra, India",2025,7,Monsoon
Car Overturn on Expressway,2025-07-12,"Lonavala Exit, Pune, Maharashtra, India",2025,7,Monsoon
Truck vs Jeep (Fatal),2025-06-25,"Shikrapur, Pune-Ahmednagar Road, Pune, Maharashtra, India",2025,6,Monsoon
Motorcycle vs Divider,2025-06-10,"Satara Road, Katraj, Pune, Maharashtra, India",2025,6,Monsoon
Drunk Driver vs Biker,2025-05-25,"Baner Road, Pune, Maharashtra, India",2025,5,Summer
Pedestrian Hit at Zebra Crossing,2025-05-12,"Deccan Gymkhana, Pune, Maharashtra, India",2025,5,Summer
Speeding Bus vs Two-Wheeler,2025-04-28,"Alandi Road, Pune, Maharashtra, India",2025,4,Summer
Container Truck Jackknife,2025-04-14,"Navale Bridge, Pune, Maharashtra, India",2025,4,Summer
Car vs Auto Collision,2025-03-30,"Fatima Nagar, Pune, Maharashtra, India",2025,3,Summer
Hit-and-Run (Morning Jogger),2025-03-12,"Race Course Perimeter, Pune, Maharashtra, India",2025,3,Summer
Dumper vs Bicycle,2025-02-28,"Phursungi, Pune, Maharashtra, India",2025,2,Winter
Highway Pileup (5 Cars),2025-02-15,"Somatane Phata, Pune, Maharashtra, India",2025,2,Winter
Two-Wheeler Skid on Sand,2025-01-30,"Balewadi High Street, Pune, Maharashtra, India",2025,1,Winter
Car Plunges into River,2025-01-15,"Sangamwadi Bridge, Pune, Maharashtra, India",2025,1,Winter
Heavy Vehicle Brake Failure,2024-12-30,"Khadi Machine Chowk, Pune, Maharashtra, India",2024,12,Winter
Night Bus Accident (Private),2024-12-20,"Wakad Flyover, Pune, Maharashtra, India",2024,12,Winter
Speeding Car vs Garbage Compactor,2024-12-05,"Sinhagad Road, Pune, Maharashtra, India",2024,12,Winter
Pedestrian Run Over by Tanker,2024-11-20,"Moshi High Street, Pune, Maharashtra, India",2024,11,Winter
Bike vs Car (Head-on),2024-11-08,"Pashan Road, Pune, Maharashtra, India",2024,11,Winter
Expressway Median Crash,2024-10-20,"Khalapur Toll Naka, Pune side, Maharashtra, India",2024,10,Winter
Auto Rickshaw Hit by Truck,2024-10-05,"Market Yard, Pune, Maharashtra, India",2024,10,Winter
Motorcycle Skid (Rainy conditions),2024-09-20,"Law College Road, Pune, Maharashtra, India",2024,9,Monsoon
Car vs Truck (Rear-end),2024-09-05,"Ravet, Pune, Maharashtra, India",2024,9,Monsoon
Pedestrian Fatality (Bhosari),2024-08-20,"Pune-Nashik Road, Bhosari, Pune, Maharashtra, India",2024,8,Monsoon
Dumper vs Bike (Fatality),2024-08-05,"Wagholi Chowk, Pune, Maharashtra, India",2024,8,Monsoon
Car hits Divider (Kharadi),2024-07-20,"World Trade Center Road, Pune, Maharashtra, India",2024,7,Monsoon
Delivery Van vs Scooter,2024-07-05,"Kothrud, Pune, Maharashtra, India",2024,7,Monsoon
Bus vs Two-Wheeler (Swargate),2024-06-20,"Swargate Underpass, Pune, Maharashtra, India",2024,6,Monsoon
High Speed Crash (Yerawada),2024-06-05,"Yerawada Bridge, Pune, Maharashtra, India",2024,6,Monsoon
Tanker vs Car (Loni Kalbhor),2024-05-25,"Pune-Solapur Highway, Pune, Maharashtra, India",2024,5,Summer
Motorcycle vs Truck (Chakan),2024-05-10,"Chakan MIDC, Pune, Maharashtra, India",2024,5,Summer
Car vs Pedestrian (Hinjewadi),2024-04-25,"Phase 1 Chowk, Hinjewadi, Pune, Maharashtra, India",2024,4,Summer
Speeding Bike (Hadapsar),2024-04-10,"Amanora Mall Frontage, Pune, Maharashtra, India",2024,4,Summer
Dumper Collision (Katraj),2024-03-25,"Katraj Ghat, Pune, Maharashtra, India",2024,3,Summer
Auto Rickshaw Overturn (Pune Station),2024-03-10,"Near Pune Railway Station, Pune, Maharashtra, India",2024,3,Summer
Car vs Divider (Baner),2024-02-25,"Baner-Pashan Link Road, Pune, Maharashtra, India",2024,2,Winter
Bus Accident (Old Highway),2024-02-10,"Dehu Road, Pune, Maharashtra, India",2024,2,Winter
Hit-and-Run (Kondhwa),2024-01-25,"Jyoti Chowk, Kondhwa, Pune, Maharashtra, India",2024,1,Winter
Motorcycle vs Dumper (Pimpri),2024-01-10,"Pimpri Chowk, Pune, Maharashtra, India",2024,1,Winter
Speeding Car (Sangvi),2023-12-30,"Pimple Gurav Road, Pune, Maharashtra, India",2023,12,Winter
Jejuri-Morgaon High-Speed Crash (9 Dead),2025-06-18,"Shriram Dhaba, Jejuri-Morgaon Road, Pune, Maharashtra, India",2025,6,Monsoon
Navale Bridge Chain Collision (8 Dead),2025-11-13,"Navale Bridge, Pune-Bengaluru Highway, Pune, Maharashtra, India",2025,11,Winter
Khed Tehsil Van Plunge (10 Dead),2025-08-11,"Near Mahadev Kundeshwar Temple, Khed, Pune, Maharashtra, India",2025,8,Monsoon
Indrayani River Bridge Collapse Crash,2025-06-15,"Indrayani River Bridge, near Chikhali, Pune, Maharashtra, India",2025,6,Monsoon
Aundh Pothole Fatality (61-yr-old),2025-08-01,"Near Medipoint Hospital, Aundh, Pune, Maharashtra, India",2025,8,Monsoon
Mukai Chowk Diwali Hit-and-Run,2024-11-03,"Mukai Chowk, Ravet, Pimpri-Chinchwad, Pune, Maharashtra, India",2024,11,Winter
Hinjewadi IT Professional Bike Slip,2025-08-25,"Bhumkar Chowk, Wakad-Hinjewadi Road, Pune, Maharashtra, India",2025,8,Monsoon
Handewadi Truck-Biker Double Fatality,2025-09-02,"Handewadi Road, Hadapsar, Pune, Maharashtra, India",2025,9,Monsoon
Kharadi Nagar Highway Dumper Hit,2025-08-10,"Near Kharadi IT Park, Nagar Highway, Pune, Maharashtra, India",2025,8,Monsoon
Hinjewadi Phase II Scooter Fatality,2025-08-12,"Phase II Road, Hinjewadi, Pune, Maharashtra, India",2025,8,Monsoon
Uttamnagar Two-Wheeler Skid,2026-01-30,"Bhaji Mandai Chowk, NDA Road, Pune, Maharashtra, India",2026,1,Winter
Wagholi Drunk School Bus Crash,2026-02-12,"Bakori Road, Wagholi, Pune, Maharashtra, India",2026,2,Winter
Learjet Runway Edge Crash (Ajit Pawar),2026-01-28,"Baramati Airfield Perimeter, Pune, Maharashtra, India",2026,1,Winter
Mulkshed-Maan Wrong Lane Entry,2020-03-04,"Near Waghjai Temple, Hinjewadi Road, Pune, Maharashtra, India",2020,3,Summer
Bavdhan Flyover Sedan Barrier Hit,2024-10-25,"Mumbai-Bengaluru Highway, Bavdhan, Pune, Maharashtra, India",2024,10,Winter
Pimpri Grade Separator Truck-Bike,2023-12-30,"Grade Separator, Pimpri, Pune, Maharashtra, India",2023,12,Winter
Katraj-Kondhwa Road Bus Median Hit,2023-07-12,"Near Tilekar Nagar, Kondhwa, Pune, Maharashtra, India",2023,7,Monsoon
Lonavala Exit Private Bus Overturn,2024-08-28,"Mumbai-Pune Expressway, Lonavala, Pune, Maharashtra, India",2024,8,Monsoon
Shaniwar Wada PMPML Brake Failure,2023-06-02,"Shivaji Road, Shaniwar Wada, Pune, Maharashtra, India",2023,6,Monsoon
Khadki Underpass Scooter Trap,2022-06-15,"Khadki Railway Underpass, Pune, Maharashtra, India",2022,6,Monsoon
Punawale Underpass Heavy Vehicle Jam,2025-07-30,"Punawale-Highway Underpass, Pune, Maharashtra, India",2025,7,Monsoon
Talawade-Triveni Nagar Truck Crash,2026-01-14,"Triveni Nagar Chowk, Nigdi-Talawade, Pune, Maharashtra, India",2026,1,Winter
Viman Nagar Audi Hit-and-Run,2024-10-12,"Mundhwa-Koregaon Park Road, Pune, Maharashtra, India",2024,10,Winter
Urse Toll Plaza Pileup (Fog),2025-12-20,"Mumbai-Pune Expressway, Urse, Pune, Maharashtra, India",2025,12,Winter
University Chowk Pedestrian Hit,2026-02-02,"Aundh Road-University Junction, Pune, Maharashtra, India",2026,2,Winter
Saswad-Jejuri Rural Jeep Crash,2024-12-15,"Jejuri Road, Saswad, Pune, Maharashtra, India",2024,12,Winter
Tamhini Ghat SUV Gorge Fall,2025-12-05,"Tamhini Ghat Main Curve, Mulshi, Pune, Maharashtra, India",2025,12,Winter
Koregaon Park Tree Fall Fatality,2025-08-12,"North Main Road, Koregaon Park, Pune, Maharashtra, India",2025,8,Monsoon
Pashan-Sus Road High Speed Crash,2025-11-30,"Pashan-Sus Link Road, Pune, Maharashtra, India",2025,11,Winter
Bibwewadi Senior Citizen Hit,2024-07-15,"Bibwewadi-Kondhwa Road, Pune, Maharashtra, India",2024,7,Monsoon
Moshi Alandi Road SUV vs Rickshaw,2026-01-10,"Moshi-Alandi Road, Pimpri-Chinchwad, Pune, Maharashtra, India",2026,1,Winter
Warje Flyover Night Speeding Crash,2025-01-10,"Mumbai-Bengaluru Highway, Warje, Pune, Maharashtra, India",2025,1,Winter
S.B. Road Luxury Sedan Divider Hit,2025-11-15,"Senapati Bapat Road, Near Marriott, Pune, Maharashtra, India",2025,11,Winter
Katraj Tunnel MSRTC Median Crash,2026-01-05,"Katraj Tunnel Approach, Pune, Maharashtra, India",2026,1,Winter
Balewadi High Street Electric Pole Hit,2025-07-28,"Balewadi High Street, Pune, Maharashtra, India",2025,7,Monsoon
Dhayari Phata School Van Collision,2025-08-05,"Sinhagad Road, Dhayari, Pune, Maharashtra, India",2025,8,Monsoon
Loni Kalbhor Canal Road Car Plunge,2025-09-15,"Loni Kalbhor Canal, Pune, Maharashtra, India",2025,9,Monsoon
Model Colony Deep Bungalow Hit,2025-05-25,"Deep Bungalow Chowk, Pune, Maharashtra, India",2025,5,Summer
Wadgaon Sheri Bridge Pillar Hit,2023-03-15,"Pune-Ahmednagar Road, Wadgaon Sheri, Pune, Maharashtra, India",2023,3,Summer
Bhor Varandha Ghat Bus Overturn,2023-10-10,"Varandha Ghat Road, Bhor, Pune, Maharashtra, India",2023,10,Winter
Kalyani Nagar Lane 7 Drunk Crash,2022-12-15,"Lane 7, Kalyani Nagar, Pune, Maharashtra, India",2022,12,Winter
New Sangvi Famous Chowk Rickshaw,2022-10-10,"New Sangvi, Pune, Maharashtra, India",2022,10,Winter
Hinjewadi Phase 3 Wrong Side Car,2025-01-10,"Phase 3 Main Road, Hinjewadi, Pune, Maharashtra, India",2025,1,Winter
Fatima Nagar Chowk Sedan vs Auto,2023-04-25,"Solapur Road, Fatima Nagar, Pune, Maharashtra, India",2023,4,Summer
Kamshet Tunnel Rear-end Collision,2024-12-12,"Mumbai-Pune Expressway, Kamshet, Pune, Maharashtra, India",2024,12,Winter
Chakan-Talegaon Road Tanker Hit,2025-02-05,"Talegaon Road, Chakan, Pune, Maharashtra, India",2025,2,Winter
Manjari Phata Tanker vs Car,2023-01-30,"Pune-Solapur Road, Manjari, Pune, Maharashtra, India",2023,1,Winter
Rakshak Chowk Fog Induced Skid,2023-01-15,"Pimple Saudagar, Pune, Maharashtra, India",2023,1,Winter
Pirangut Road Ditch Plunge,2022-11-15,"Mulshi-Pirangut Road, Pune, Maharashtra, India",2022,11,Winter
Sangamwadi Bridge Wall Collision,2025-10-25,"Sangamwadi-Yerawada Bridge, Pune, Maharashtra, India",2025,10,Winter
Khandala Ghat Tanker Gas Leak,2026-02-04,"Expressway Ghat Section, Pune, Maharashtra, India",2026,2,Winter
Nalge Vasti Shirur Truck-Car,2026-02-14,"Nhavare-Chaufula Road, Shirur, Pune, Maharashtra, India",2026,2,Winter
Wagholi Phata Triple Fatality,2026-02-01,"Pune-Ahmednagar Road, Wagholi, Pune, Maharashtra, India",2026,2,Winter
Phase 3 Flyover IT Biker Skid,2026-01-15,"Hinjewadi Flyover, Pune, Maharashtra, India",2026,1,Winter
Pune-Nashik Highway Wrong-Side,2025-12-08,"Bhosari Sector, Pune-Nashik Road, Pune, Maharashtra, India",2025,12,Winter
Phursungi IT Park Dumper-Bicycle,2025-11-22,"Phursungi Main Road, Pune, Maharashtra, India",2025,11,Winter
Hadapsar-Solapur Tempo Overtake,2025-11-05,"Solapur Highway, Hadapsar, Pune, Maharashtra, India",2025,11,Winter
Nal Stop Chowk Garbage Compactor,2025-10-18,"Karve Road, Pune, Maharashtra, India",2025,10,Winter
Khed Shivapur Tanker-Bus Head-on,2025-10-10,"Pune-Satara Road, Khed Shivapur, Pune, Maharashtra, India",2025,10,Winter
Phoenix Mall Viman Nagar Hit,2025-09-28,"Viman Nagar, Pune, Maharashtra, India",2025,9,Monsoon
Keshav Nagar Pothole Fall,2025-08-30,"Mundhwa-Manjari Road, Pune, Maharashtra, India",2025,8,Monsoon
Chikhali Indramani Bridge Crash,2025-06-16,"Chikhali-Pimpri Road, Pune, Maharashtra, India",2025,6,Monsoon
Magarpatta North Gate Oil Spill,2025-06-10,"Magarpatta City, Hadapsar, Pune, Maharashtra, India",2025,6,Monsoon
Borghat Container Jackknife,2025-05-15,"Expressway Ghats, Pune-Mumbai, Maharashtra, India",2025,5,Summer
Lexicon School Wagholi Dumper,2025-05-02,"Nagar Road, Wagholi, Pune, Maharashtra, India",2025,5,Summer
Pimple Saudagar Electric Pole Hit,2025-04-20,"Shivar Garden Road, Pune, Maharashtra, India",2025,4,Summer
Swargate Bus Stand Auto Overturn,2025-04-10,"Satara Road Exit, Swargate, Pune, Maharashtra, India",2025,4,Summer
Baner Phata Peak-Hour Truck Hit,2025-03-25,"Baner Main Road, Pune, Maharashtra, India",2025,3,Summer
Landewadi Chowk Pedestrian Hit,2025-02-28,"Bhosari, Pune, Maharashtra, India",2025,2,Winter
Goodluck Chowk FC Road Drunk Crash,2025-02-18,"Fergusson College Road, Pune, Maharashtra, India",2025,2,Winter
Yavat SUV Overtake Crash,2025-01-22,"Pune-Solapur Highway, Yavat, Pune, Maharashtra, India",2025,1,Winter
Race Course Road Hit-and-Run,2024-12-30,"Camp Area, Pune, Maharashtra, India",2024,12,Winter
Ambegaon Drunk Driver Food Stall,2024-12-22,"Katraj-Dehu Road Bypass, Pune, Maharashtra, India",2024,12,Winter
Vishrantwadi Chowk Bus Fatality,2024-11-30,"Alandi Road Junction, Pune, Maharashtra, India",2024,11,Winter
Kalyani Nagar Porsche Crash,2024-05-19,"Kalyani Nagar Junction, Pune, Maharashtra, India",2024,5,Summer
Paud Road Bhugaon Head-on,2024-09-15,"Paud Road, Mulshi, Pune, Maharashtra, India",2024,9,Monsoon
Law College Road Wet Skid,2024-08-20,"Law College Road, Pune, Maharashtra, India",2024,8,Monsoon
Alandi Road Kalas Dumper Hit,2024-08-10,"Alandi Road, Kalas, Pune, Maharashtra, India",2024,8,Monsoon
World Trade Center Kharadi Crash,2024-07-25,"Mundhwa-Kharadi Road, Pune, Maharashtra, India",2024,7,Monsoon
Amrutanjan Bridge Tanker Overturn,2024-06-30,"Expressway Ghat, Pune side, Maharashtra, India",2024,6,Monsoon
Sangamwadi-Yerawada Bridge Plunge,2024-05-10,"Sangamwadi, Pune, Maharashtra, India",2024,5,Summer
Shikrapur Nagar Road Truck-Car,2024-04-30,"Pune-Ahmednagar Road, Shikrapur, Pune, Maharashtra, India",2024,4,Summer
Jedhe Chowk Bus vs Rickshaw,2024-03-30,"Swargate, Pune, Maharashtra, India",2024,3,Summer
Balajinagar Hit-and-Run,2024-03-20,"Satara Road, Pune, Maharashtra, India",2024,3,Summer
Chakan-Ambethan Two-Wheeler Hit,2024-02-22,"Chakan Industrial Zone, Pune, Maharashtra, India",2024,2,Winter
Pune Station Auto Overturn,2024-01-28,"Main Exit, Pune Railway Station, Pune, Maharashtra, India",2024,1,Winter
Shivaji Chowk Hinjewadi Wrong-Side,2024-01-15,"Phase 1, Hinjewadi, Pune, Maharashtra, India",2024,1,Winter
Baner-Balewadi Median Collision,2023-12-15,"Balewadi Road, Pune, Maharashtra, India",2023,12,Winter
Mulshi Pune-Paud Jeep Hit,2023-11-30,"Paud Road, Mulshi, Pune, Maharashtra, India",2023,11,Winter
Hadapsar Flyover Two-Wheeler Fatal,2023-11-18,"Solapur Road Flyover, Pune, Maharashtra, India",2023,11,Winter
Raj Bhavan Gate Hit-and-Run,2023-11-05,"University Road, Pune, Maharashtra, India",2023,11,Winter
Viman Nagar Datta Mandir Crash,2023-10-25,"Viman Nagar, Pune, Maharashtra, India",2023,10,Winter
J.M. Road Pedestrian Bike Hit,2023-09-28,"Shivajinagar, Pune, Maharashtra, India",2023,9,Monsoon
Wakad-Hinjewadi Sand Skid,2023-09-02,"Wakad Road, Pune, Maharashtra, India",2023,9,Monsoon
Dhanori-Lohegaon Gutter Plunge,2023-08-20,"Lohegaon Road, Pune, Maharashtra, India",2023,8,Monsoon
Chandni Chowk Hit-and-Run,2023-07-25,"Kothrud Bypass, Pune, Maharashtra, India",2023,7,Monsoon
Moshi-Chakan Truck-Bike,2023-06-12,"Nashik Highway, Moshi, Pune, Maharashtra, India",2023,6,Monsoon
Bremen Chowk Car vs Pedestrian,2023-02-28,"Aundh, Pune, Maharashtra, India",2023,2,Winter
Kirloskar Company Jejuri Crash,2025-06-18,"Jejuri-Morgaon Road, Pune, Maharashtra, India",2025,6,Monsoon
Wadgaon Bridge 25-Vehicle Pileup,2025-11-13,"Navale Bridge Bypass, Pune, Maharashtra, India",2025,11,Winter
Dumper vs IT Engineer (Fatal),2024-09-24,"Viman Nagar Chowk, Nagar Road, Pune, Maharashtra, India",2024,9,Monsoon
Speeding Biker BRT Railing Collision,2025-11-08,"Mankar Chowk, Wakad BRT Lane, Pune, Maharashtra, India",2025,11,Winter
Truck Hits Walk-over Bridge Pillar,2023-03-15,"Wadgaon Sheri, Nagar Road, Pune, Maharashtra, India",2023,3,Summer
PMPML Bus vs Senior Citizen,2026-02-02,"Near Bremen Chowk, Aundh Road, Pune, Maharashtra, India",2026,2,Winter
Double Sister Fatality (Truck Hit),2026-01-14,"Talawade-Triveni Nagar Chowk, Pimpri-Chinchwad, Pune, Maharashtra, India",2026,1,Winter
Auto Rickshaw vs Drunk Driver SUV,2025-12-30,"Near Jyoti Chowk, Kondhwa, Pune, Maharashtra, India",2025,12,Winter
Expressway Multi-Car Pileup,2025-12-24,"Near Adoshi Tunnel, Mumbai-Pune Expressway, Pune, Maharashtra, India",2025,12,Winter
Cement Mixer vs Bicycle (Student),2026-01-12,"Bakori Road, Wagholi, Pune, Maharashtra, India",2026,1,Winter
Two-Wheeler Slip (Shirley Anthony Case),2026-01-24,"Bhaji Mandai Chowk, NDA Road, Pune, Maharashtra, India",2026,1,Winter
Speeding Sedan Median Crash,2026-02-10,"Pashan-Sus Link Road, Pune, Maharashtra, India",2026,2,Winter
Container Brake Failure (Navale Bridge),2025-11-13,"Katraj-Dehu Road Bypass, Pune, Maharashtra, India",2025,11,Winter
Luxury Bus vs Dumper (Katraj),2026-02-05,"Near Katraj Tunnel, Satara Road, Pune, Maharashtra, India",2026,2,Winter
Motorcycle Head-on Collision,2026-01-28,"Paud-Pirangut Road, Mulshi, Pune, Maharashtra, India",2026,1,Winter
Wrong Side Car Crash,2026-01-20,"Nashik Phata Flyover, Pimpri, Pune, Maharashtra, India",2026,1,Winter
School Van Overturns,2025-12-22,"Near Blue Ridge, Hinjewadi Phase 1, Pune, Maharashtra, India",2025,12,Winter
Dumper Truck vs Female Commuter,2025-12-14,"Vishrantwadi-Alandi Road, Pune, Maharashtra, India",2025,12,Winter
Car Plunges into Gorge (Tamhini),2025-12-05,"Tamhini Ghat Section, Mulshi, Pune, Maharashtra, India",2025,12,Winter
Garbage Compactor Hit-and-Run,2025-11-25,"Sinhagad Road, near Pu La Deshpande Park, Pune, Maharashtra, India",2025,11,Winter
Tanker Brake Failure (Expressway),2025-11-18,"Bhor Ghat, Mumbai-Pune Expressway, Pune, Maharashtra, India",2025,11,Winter
Night Bus Hits Divider (Wakad),2025-11-10,"Near Wakad Bridge, Highway, Pune, Maharashtra, India",2025,11,Winter
Auto Rickshaw vs SUV (Station),2025-11-02,"Pune Railway Station South Gate, Pune, Maharashtra, India",2025,11,Winter
Two-Wheeler Fatality (No Helmet),2025-10-20,"Bibwewadi-Kondhwa Road, Pune, Maharashtra, India",2025,10,Winter
Car Hits Pedestrian (University),2025-10-12,"University Chowk, Ganeshkhind Road, Pune, Maharashtra, India",2025,10,Winter
