title,date,location
Two-Wheeler Skid (Bad Patch),"Oct 05, 2025","Kharadi-Mundhwa Bridge, Pune, Maharashtra, India"
Bus vs Auto Rickshaw (Fatality),"Sep 30, 2025","Swargate Bus Stand Area, Pune, Maharashtra, India"
Speeding Car Median Collision,"Sep 15, 2025","Viman Nagar, Pune, Maharashtra, India"
Truck Brake Failure (Navale Bridge),"Aug 20, 2025","Katraj-Dehu Road Bypass, Pune, Maharashtra, India"
Wrong Side Bike Crash,"Jul 15, 2025","Wagholi, Pune-Ahmednagar Road, Pune, Maharashtra, India"
Pothole-related Scooter Accident,"Jul 05, 2025","Yerawada, near Golf Course, Pune, Maharashtra, India"
Garbage Van vs Motorcycle,"Jun 20, 2025","Dhanori-Lohegaon Road, Pune, Maharashtra, India"
High-Speed Sedan Crash,"May 30, 2025","Senapati Bapat Road, Pune, Maharashtra, India"
Heavy Vehicle Entry Violation (Collision),"May 10, 2025","Baner-Balewadi Phata, Pune, Maharashtra, India"
Inter-City Bus Collision,"Apr 15, 2025","Pune-Nashik Highway, Bhosari, Pune, Maharashtra, India"
Drunk Driver vs Police Barrier,"Apr 01, 2025","Koregaon Park Lane 7, Pune, Maharashtra, India"
Pedestrian Fatality (Hit by Tempo),"Mar 15, 2025","Shivajinagar Court Road, Pune, Maharashtra, India"
Container vs Car (Expressway),"Mar 05, 2025","Urse Toll Naka, Mumbai-Pune Expressway, Pune, Maharashtra, India"
Bike Skid on Oil Spill,"Feb 20, 2025","Magarpatta City North Gate, Pune, Maharashtra, India"
Auto Rickshaw Overturn,"Feb 05, 2025","Station Road, Pune, Maharashtra, India"
Speeding SUV vs Electric Pole,"Jan 25, 2025","Pimple Saudagar, Pune, Maharashtra, India"
Morning Walker Hit-and-Run,"Jan 10, 2025","University Road, Pune, Maharashtra, India"
Tractor vs Motorcycle (Rural),"Dec 25, 2024","Paud Road, Mulshi, Pune, Maharashtra, India"
Nighttime Collision (Drunken Driving),"Dec 15, 2024","Camp Area (MG Road), Pune, Maharashtra, India"
Two-Wheeler Under Truck Wheels,"Nov 25, 2024","Akurdi, Pimpri-Chinchwad, Pune, Maharashtra, India"
Car Plunges into Canal,"Nov 10, 2024","Hadapsar-Saswad Canal Road, Pune, Maharashtra, India"
Heavy Dumper vs Office Commuter,"Oct 25, 2024","Hinjewadi Phase 3, Pune, Maharashtra, India"
Multi-vehicle Pileup (Foggy conditions),"Jan 05, 2026","Talegaon Dabhade, Pune, Maharashtra, India"
Tempo Traveller vs Container,"Dec 12, 2025","Kamshet, Old Mumbai-Pune Highway, Pune, Maharashtra, India"
Speeding Bike Median Crash,"Nov 28, 2025","Karve Road, Pune, Maharashtra, India"
School Van Collision,"Nov 18, 2025","Bibwewadi, Pune, Maharashtra, India"
Milk Tanker Overturn,"Oct 30, 2025","Shirur Highway, Pune, Maharashtra, India"
Car vs Pedestrian (Senior Citizen),"Oct 15, 2025","Model Colony, Pune, Maharashtra, India"
Luxury Car Hit-and-Run,"Sep 22, 2025","NIBM Road, Kondhwa, Pune, Maharashtra, India"
Bike vs PMPML Bus,"Sep 08, 2025","Shaniwar Peth, Pune, Maharashtra, India"
Gas Cylinder Truck Accident,"Aug 25, 2025","Chakan-Talegaon Road, Pune, Maharashtra, India"
Highway Highway Barrier Crash,"Aug 10, 2025","Kiwale, Mumbai-Pune Expressway, Pune, Maharashtra, India"
Two-Wheeler Pothole Fatality,"Jul 28, 2025","Keshav Nagar, Mundhwa, Pune, Maharashtra, India"
Car Overturn on Expressway,"Jul 12, 2025","Lonavala Exit, Pune, Maharashtra, India"
Truck vs Jeep (Fatal),"Jun 25, 2025","Shikrapur, Pune-Ahmednagar Road, Pune, Maharashtra, India"
Motorcycle vs Divider,"Jun 10, 2025","Satara Road, Katraj, Pune, Maharashtra, India"
Drunk Driver vs Biker,"May 25, 2025","Baner Road, Pune, Maharashtra, India"
Pedestrian Hit at Zebra Crossing,"May 12, 2025","Deccan Gymkhana, Pune, Maharashtra, India"
Speeding Bus vs Two-Wheeler,"Apr 28, 2025","Alandi Road, Pune, Maharashtra, India"
Container Truck Jackknife,"Apr 14, 2025","Navale Bridge, Pune, Maharashtra, India"
Car vs Auto Collision,"Mar 30, 2025","Fatima Nagar, Pune, Maharashtra, India"
Hit-and-Run (Morning Jogger),"Mar 12, 2025","Race Course Perimeter, Pune, Maharashtra, India"
Dumper vs Bicycle,"Feb 28, 2025","Phursungi, Pune, Maharashtra, India"
Highway Pileup (5 Cars),"Feb 15, 2025","Somatane Phata, Pune, Maharashtra, India"
Two-Wheeler Skid on Sand,"Jan 30, 2025","Balewadi High Street, Pune, Maharashtra, India"
Car Plunges into River,"Jan 15, 2025","Sangamwadi Bridge, Pune, Maharashtra, India"
Heavy Vehicle Brake Failure,"Dec 30, 2024","Khadi Machine Chowk, Pune, Maharashtra, India"
Night Bus Accident (Private),"Dec 20, 2024","Wakad Flyover, Pune, Maharashtra, India"
Speeding Car vs Garbage Compactor,"Dec 05, 2024","Sinhagad Road, Pune, Maharashtra, India"
Pedestrian Run Over by Tanker,"Nov 20, 2024","Moshi High Street, Pune, Maharashtra, India"
Bike vs Car (Head-on),"Nov 08, 2024","Pashan Road, Pune, Maharashtra, India"
Expressway Median Crash,"Oct 20, 2024","Khalapur Toll Naka, Pune side, Maharashtra, India"
Auto Rickshaw Hit by Truck,"Oct 05, 2024","Market Yard, Pune, Maharashtra, India"
Motorcycle Skid (Rainy conditions),"Sep 20, 2024","Law College Road, Pune, Maharashtra, India"
Car vs Truck (Rear-end),"Sep 05, 2024","Ravet, Pune, Maharashtra, India"
Pedestrian Fatality (Bhosari),"Aug 20, 2024","Pune-Nashik Road, Bhosari, Pune, Maharashtra, India"
Dumper vs Bike (Fatality),"Aug 05, 2024","Wagholi Chowk, Pune, Maharashtra, India"
Car hits Divider (Kharadi),"Jul 20, 2024","World Trade Center Road, Pune, Maharashtra, India"
Delivery Van vs Scooter,"Jul 05, 2024","Kothrud, Pune, Maharashtra, India"
Bus vs Two-Wheeler (Swargate),"Jun 20, 2024","Swargate Underpass, Pune, Maharashtra, India"
High Speed Crash (Yerawada),"Jun 05, 2024","Yerawada Bridge, Pune, Maharashtra, India"
Tanker vs Car (Loni Kalbhor),"May 25, 2024","Pune-Solapur Highway, Pune, Maharashtra, India"
Motorcycle vs Truck (Chakan),"May 10, 2024","Chakan MIDC, Pune, Maharashtra, India"
Car vs Pedestrian (Hinjewadi),"Apr 25, 2024","Phase 1 Chowk, Hinjewadi, Pune, Maharashtra, India"
Speeding Bike (Hadapsar),"Apr 10, 2024","Amanora Mall Frontage, Pune, Maharashtra, India"
Dumper Collision (Katraj),"Mar 25, 2024","Katraj Ghat, Pune, Maharashtra, India"
Auto Rickshaw Overturn (Pune Station),"Mar 10, 2024","Near Pune Railway Station, Pune, Maharashtra, India"
Car vs Divider (Baner),"Feb 25, 2024","Baner-Pashan Link Road, Pune, Maharashtra, India"
Bus Accident (Old Highway),"Feb 10, 2024","Dehu Road, Pune, Maharashtra, India"
Hit-and-Run (Kondhwa),"Jan 25, 2024","Jyoti Chowk, Kondhwa, Pune, Maharashtra, India"
Motorcycle vs Dumper (Pimpri),"Jan 10, 2024","Pimpri Chowk, Pune, Maharashtra, India"
Speeding Car (Sangvi),"Dec 30, 2023","Pimple Gurav Road, Pune, Maharashtra, India"
Jejuri-Morgaon High-Speed Crash (9 Dead),"Jun 18, 2025","Shriram Dhaba, Jejuri-Morgaon Road, Pune, Maharashtra, India"
Navale Bridge Chain Collision (8 Dead),"Nov 13, 2025","Navale Bridge, Pune-Bengaluru Highway, Pune, Maharashtra, India"
Khed Tehsil Van Plunge (10 Dead),"Aug 11, 2025","Near Mahadev Kundeshwar Temple, Khed, Pune, Maharashtra, India"
Indrayani River Bridge Collapse Crash,"Jun 15, 2025","Indrayani River Bridge, near Chikhali, Pune, Maharashtra, India"
Aundh Pothole Fatality (61-yr-old),"Aug 01, 2025","Near Medipoint Hospital, Aundh, Pune, Maharashtra, India"
Mukai Chowk Diwali Hit-and-Run,"Nov 03, 2024","Mukai Chowk, Ravet, Pimpri-Chinchwad, Pune, Maharashtra, India"
Hinjewadi IT Professional Bike Slip,"Aug 25, 2025","Bhumkar Chowk, Wakad-Hinjewadi Road, Pune, Maharashtra, India"
Handewadi Truck-Biker Double Fatality,"Sep 02, 2025","Handewadi Road, Hadapsar, Pune, Maharashtra, India"
Kharadi Nagar Highway Dumper Hit,"Aug 10, 2025","Near Kharadi IT Park, Nagar Highway, Pune, Maharashtra, India"
Hinjewadi Phase II Scooter Fatality,"Aug 12, 2025","Phase II Road, Hinjewadi, Pune, Maharashtra, India"
Uttamnagar Two-Wheeler Skid,"Jan 30, 2026","Bhaji Mandai Chowk, NDA Road, Pune, Maharashtra, India"
Wagholi Drunk School Bus Crash,"Feb 12, 2026","Bakori Road, Wagholi, Pune, Maharashtra, India"
Learjet Runway Edge Crash (Ajit Pawar),"Jan 28, 2026","Baramati Airfield Perimeter, Pune, Maharashtra, India"
Mulkshed-Maan Wrong Lane Entry,"Mar 04, 2020","Near Waghjai Temple, Hinjewadi Road, Pune, Maharashtra, India"
Bavdhan Flyover Sedan Barrier Hit,"Oct 25, 2024","Mumbai-Bengaluru Highway, Bavdhan, Pune, Maharashtra, India"
Pimpri Grade Separator Truck-Bike,"Dec 30, 2023","Grade Separator, Pimpri, Pune, Maharashtra, India"
Katraj-Kondhwa Road Bus Median Hit,"Jul 12, 2023","Near Tilekar Nagar, Kondhwa, Pune, Maharashtra, India"
Lonavala Exit Private Bus Overturn,"Aug 28, 2024","Mumbai-Pune Expressway, Lonavala, Pune, Maharashtra, India"
Shaniwar Wada PMPML Brake Failure,"Jun 02, 2023","Shivaji Road, Shaniwar Wada, Pune, Maharashtra, India"
Khadki Underpass Scooter Trap,"Jun 15, 2022","Khadki Railway Underpass, Pune, Maharashtra, India"
Punawale Underpass Heavy Vehicle Jam,"Jul 30, 2025","Punawale-Highway Underpass, Pune, Maharashtra, India"
Talawade-Triveni Nagar Truck Crash,"Jan 14, 2026","Triveni Nagar Chowk, Nigdi-Talawade, Pune, Maharashtra, India"
Viman Nagar Audi Hit-and-Run,"Oct 12, 2024","Mundhwa-Koregaon Park Road, Pune, Maharashtra, India"
Urse Toll Plaza Pileup (Fog),"Dec 20, 2025","Mumbai-Pune Expressway, Urse, Pune, Maharashtra, India"
University Chowk Pedestrian Hit,"Feb 02, 2026","Aundh Road-University Junction, Pune, Maharashtra, India"
Saswad-Jejuri Rural Jeep Crash,"Dec 15, 2024","Jejuri Road, Saswad, Pune, Maharashtra, India"
Tamhini Ghat SUV Gorge Fall,"Dec 05, 2025","Tamhini Ghat Main Curve, Mulshi, Pune, Maharashtra, India"
Koregaon Park Tree Fall Fatality,"Aug 12, 2025","North Main Road, Koregaon Park, Pune, Maharashtra, India"
Pashan-Sus Road High Speed Crash,"Nov 30, 2025","Pashan-Sus Link Road, Pune, Maharashtra, India"
Bibwewadi Senior Citizen Hit,"Jul 15, 2024","Bibwewadi-Kondhwa Road, Pune, Maharashtra, India"
Moshi Alandi Road SUV vs Rickshaw,"Jan 10, 2026","Moshi-Alandi Road, Pimpri-Chinchwad, Pune, Maharashtra, India"
Warje Flyover Night Speeding Crash,"Jan 10, 2025","Mumbai-Bengaluru Highway, Warje, Pune, Maharashtra, India"
S.B. Road Luxury Sedan Divider Hit,"Nov 15, 2025","Senapati Bapat Road, Near Marriott, Pune, Maharashtra, India"
Katraj Tunnel MSRTC Median Crash,"Jan 05, 2026","Katraj Tunnel Approach, Pune, Maharashtra, India"
Balewadi High Street Electric Pole Hit,"Jul 28, 2025","Balewadi High Street, Pune, Maharashtra, India"
Dhayari Phata School Van Collision,"Aug 05, 2025","Sinhagad Road, Dhayari, Pune, Maharashtra, India"
Loni Kalbhor Canal Road Car Plunge,"Sep 15, 2025","Loni Kalbhor Canal, Pune, Maharashtra, India"
Model Colony Deep Bungalow Hit,"May 25, 2025","Deep Bungalow Chowk, Pune, Maharashtra, India"
Wadgaon Sheri Bridge Pillar Hit,"Mar 15, 2023","Pune-Ahmednagar Road, Wadgaon Sheri, Pune, Maharashtra, India"
Bhor Varandha Ghat Bus Overturn,"Oct 10, 2023","Varandha Ghat Road, Bhor, Pune, Maharashtra, India"
Kalyani Nagar Lane 7 Drunk Crash,"Dec 15, 2022","Lane 7, Kalyani Nagar, Pune, Maharashtra, India"
New Sangvi Famous Chowk Rickshaw,"Oct 10, 2022","New Sangvi, Pune, Maharashtra, India"
Hinjewadi Phase 3 Wrong Side Car,"Jan 10, 2025","Phase 3 Main Road, Hinjewadi, Pune, Maharashtra, India"
Fatima Nagar Chowk Sedan vs Auto,"Apr 25, 2023","Solapur Road, Fatima Nagar, Pune, Maharashtra, India"
Kamshet Tunnel Rear-end Collision,"Dec 12, 2024","Mumbai-Pune Expressway, Kamshet, Pune, Maharashtra, India"
Chakan-Talegaon Road Tanker Hit,"Feb 05, 2025","Talegaon Road, Chakan, Pune, Maharashtra, India"
Manjari Phata Tanker vs Car,"Jan 30, 2023","Pune-Solapur Road, Manjari, Pune, Maharashtra, India"
Rakshak Chowk Fog Induced Skid,"Jan 15, 2023","Pimple Saudagar, Pune, Maharashtra, India"
Pirangut Road Ditch Plunge,"Nov 15, 2022","Mulshi-Pirangut Road, Pune, Maharashtra, India"
Sangamwadi Bridge Wall Collision,"Oct 25, 2025","Sangamwadi-Yerawada Bridge, Pune, Maharashtra, India"
Khandala Ghat Tanker Gas Leak,"Feb 04, 2026","Expressway Ghat Section, Pune, Maharashtra, India"
Nalge Vasti Shirur Truck-Car,"Feb 14, 2026","Nhavare-Chaufula Road, Shirur, Pune, Maharashtra, India"
Wagholi Phata Triple Fatality,"Feb 01, 2026","Pune-Ahmednagar Road, Wagholi, Pune, Maharashtra, India"
Phase 3 Flyover IT Biker Skid,"Jan 15, 2026","Hinjewadi Flyover, Pune, Maharashtra, India"
Pune-Nashik Highway Wrong-Side,"Dec 08, 2025","Bhosari Sector, Pune-Nashik Road, Pune, Maharashtra, India"
Phursungi IT Park Dumper-Bicycle,"Nov 22, 2025","Phursungi Main Road, Pune, Maharashtra, India"
Hadapsar-Solapur Tempo Overtake,"Nov 05, 2025","Solapur Highway, Hadapsar, Pune, Maharashtra, India"
Nal Stop Chowk Garbage Compactor,"Oct 18, 2025","Karve Road, Pune, Maharashtra, India"
Khed Shivapur Tanker-Bus Head-on,"Oct 10, 2025","Pune-Satara Road, Khed Shivapur, Pune, Maharashtra, India"
Phoenix Mall Viman Nagar Hit,"Sep 28, 2025","Viman Nagar, Pune, Maharashtra, India"
Keshav Nagar Pothole Fall,"Aug 30, 2025","Mundhwa-Manjari Road, Pune, Maharashtra, India"
Chikhali Indramani Bridge Crash,"Jun 16, 2025","Chikhali-Pimpri Road, Pune, Maharashtra, India"
Magarpatta North Gate Oil Spill,"Jun 10, 2025","Magarpatta City, Hadapsar, Pune, Maharashtra, India"
Borghat Container Jackknife,"May 15, 2025","Expressway Ghats, Pune-Mumbai, Maharashtra, India"
Lexicon School Wagholi Dumper,"May 02, 2025","Nagar Road, Wagholi, Pune, Maharashtra, India"
Pimple Saudagar Electric Pole Hit,"Apr 20, 2025","Shivar Garden Road, Pune, Maharashtra, India"
Swargate Bus Stand Auto Overturn,"Apr 10, 2025","Satara Road Exit, Swargate, Pune, Maharashtra, India"
Baner Phata Peak-Hour Truck Hit,"Mar 25, 2025","Baner Main Road, Pune, Maharashtra, India"
Landewadi Chowk Pedestrian Hit,"Feb 28, 2025","Bhosari, Pune, Maharashtra, India"
Goodluck Chowk FC Road Drunk Crash,"Feb 18, 2025","Fergusson College Road, Pune, Maharashtra, India"
Yavat SUV Overtake Crash,"Jan 22, 2025","Pune-Solapur Highway, Yavat, Pune, Maharashtra, India"
Race Course Road Hit-and-Run,"Dec 30, 2024","Camp Area, Pune, Maharashtra, India"
Ambegaon Drunk Driver Food Stall,"Dec 22, 2024","Katraj-Dehu Road Bypass, Pune, Maharashtra, India"
Vishrantwadi Chowk Bus Fatality,"Nov 30, 2024","Alandi Road Junction, Pune, Maharashtra, India"
Kalyani Nagar Porsche Crash,"May 19, 2024","Kalyani Nagar Junction, Pune, Maharashtra, India"
Paud Road Bhugaon Head-on,"Sep 15, 2024","Paud Road, Mulshi, Pune, Maharashtra, India"
Law College Road Wet Skid,"Aug 20, 2024","Law College Road, Pune, Maharashtra, India"
Alandi Road Kalas Dumper Hit,"Aug 10, 2024","Alandi Road, Kalas, Pune, Maharashtra, India"
World Trade Center Kharadi Crash,"Jul 25, 2024","Mundhwa-Kharadi Road, Pune, Maharashtra, India"
Amrutanjan Bridge Tanker Overturn,"Jun 30, 2024","Expressway Ghat, Pune side, Maharashtra, India"
Sangamwadi-Yerawada Bridge Plunge,"May 10, 2024","Sangamwadi, Pune, Maharashtra, India"
Shikrapur Nagar Road Truck-Car,"Apr 30, 2024","Pune-Ahmednagar Road, Shikrapur, Pune, Maharashtra, India"
Jedhe Chowk Bus vs Rickshaw,"Mar 30, 2024","Swargate, Pune, Maharashtra, India"
Balajinagar Hit-and-Run,"Mar 20, 2024","Satara Road, Pune, Maharashtra, India"
Chakan-Ambethan Two-Wheeler Hit,"Feb 22, 2024","Chakan Industrial Zone, Pune, Maharashtra, India"
Pune Station Auto Overturn,"Jan 28, 2024","Main Exit, Pune Railway Station, Pune, Maharashtra, India"
Shivaji Chowk Hinjewadi Wrong-Side,"Jan 15, 2024","Phase 1, Hinjewadi, Pune, Maharashtra, India"
Baner-Balewadi Median Collision,"Dec 15, 2023","Balewadi Road, Pune, Maharashtra, India"
Mulshi Pune-Paud Jeep Hit,"Nov 30, 2023","Paud Road, Mulshi, Pune, Maharashtra, India"
Hadapsar Flyover Two-Wheeler Fatal,"Nov 18, 2023","Solapur Road Flyover, Pune, Maharashtra, India"
Raj Bhavan Gate Hit-and-Run,"Nov 05, 2023","University Road, Pune, Maharashtra, India"
Viman Nagar Datta Mandir Crash,"Oct 25, 2023","Viman Nagar, Pune, Maharashtra, India"
J.M. Road Pedestrian Bike Hit,"Sep 28, 2023","Shivajinagar, Pune, Maharashtra, India"
Wakad-Hinjewadi Sand Skid,"Sep 02, 2023","Wakad Road, Pune, Maharashtra, India"
Dhanori-Lohegaon Gutter Plunge,"Aug 20, 2023","Lohegaon Road, Pune, Maharashtra, India"
Chandni Chowk Hit-and-Run,"Jul 25, 2023","Kothrud Bypass, Pune, Maharashtra, India"
Moshi-Chakan Truck-Bike,"Jun 12, 2023","Nashik Highway, Moshi, Pune, Maharashtra, India"
Bremen Chowk Car vs Pedestrian,"Feb 28, 2023","Aundh, Pune, Maharashtra, India"
Kirloskar Company Jejuri Crash,"Jun 18, 2025","Jejuri-Morgaon Road, Pune, Maharashtra, India"
Wadgaon Bridge 25-Vehicle Pileup,"Nov 13, 2025","Navale Bridge Bypass, Pune, Maharashtra, India"
Dumper vs IT Engineer (Fatal),"Sep 24, 2024","Viman Nagar Chowk, Nagar Road, Pune, Maharashtra, India"
Speeding Biker BRT Railing Collision,"Nov 08, 2025","Mankar Chowk, Wakad BRT Lane, Pune, Maharashtra, India"
Truck Hits Walk-over Bridge Pillar,"Mar 15, 2023","Wadgaon Sheri, Nagar Road, Pune, Maharashtra, India"
PMPML Bus vs Senior Citizen,"Feb 02, 2026","Near Bremen Chowk, Aundh Road, Pune, Maharashtra, India"
Double Sister Fatality (Truck Hit),"Jan 14, 2026","Talawade-Triveni Nagar Chowk, Pimpri-Chinchwad, Pune, Maharashtra, India"
Auto Rickshaw vs Drunk Driver SUV,"Dec 30, 2025","Near Jyoti Chowk, Kondhwa, Pune, Maharashtra, India"
Expressway Multi-Car Pileup,"Dec 24, 2025","Near Adoshi Tunnel, Mumbai-Pune Expressway, Pune, Maharashtra, India"
Cement Mixer vs Bicycle (Student),"Jan 12, 2026","Bakori Road, Wagholi, Pune, Maharashtra, India"
Two-Wheeler Slip (Shirley Anthony Case),"Jan 24, 2026","Bhaji Mandai Chowk, NDA Road, Pune, Maharashtra, India"
Speeding Sedan Median Crash,"Feb 10, 2026","Pashan-Sus Link Road, Pune, Maharashtra, India"
Container Brake Failure (Navale Bridge),"Nov 13, 2025","Katraj-Dehu Road Bypass, Pune, Maharashtra, India"
Luxury Bus vs Dumper (Katraj),"Feb 05, 2026","Near Katraj Tunnel, Satara Road, Pune, Maharashtra, India"
Motorcycle Head-on Collision,"Jan 28, 2026","Paud-Pirangut Road, Mulshi, Pune, Maharashtra, India"
Wrong Side Car Crash,"Jan 20, 2026","Nashik Phata Flyover, Pimpri, Pune, Maharashtra, India"
School Van Overturns,"Dec 22, 2025","Near Blue Ridge, Hinjewadi Phase 1, Pune, Maharashtra, India"
Dumper Truck vs Female Commuter,"Dec 14, 2025","Vishrantwadi-Alandi Road, Pune, Maharashtra, India"
Car Plunges into Gorge (Tamhini),"Dec 05, 2025","Tamhini Ghat Section, Mulshi, Pune, Maharashtra, India"
Garbage Compactor Hit-and-Run,"Nov 25, 2025","Sinhagad Road, near Pu La Deshpande Park, Pune, Maharashtra, India"
Tanker Brake Failure (Expressway),"Nov 18, 2025","Bhor Ghat, Mumbai-Pune Expressway, Pune, Maharashtra, India"
Night Bus Hits Divider (Wakad),"Nov 10, 2025","Near Wakad Bridge, Highway, Pune, Maharashtra, India"
Auto Rickshaw vs SUV (Station),"Nov 02, 2025","Pune Railway Station South Gate, Pune, Maharashtra, India"
Two-Wheeler Fatality (No Helmet),"Oct 20, 2025","Bibwewadi-Kondhwa Road, Pune, Maharashtra, India"
Car Hits Pedestrian (University),"Oct 12, 2025","University Chowk, Ganeshkhind Road, Pune, Maharashtra, India"
Multi-Vehicle Pileup (Rain),"Sep 30, 2025","Near Urse Toll Naka, Expressway, Pune, Maharashtra, India"
Speeding Bike vs Median (Kharadi),"Sep 15, 2025","Kharadi-Mundhwa Bridge, Pune, Maharashtra, India"
Truck vs Car (Somatane),"Sep 01, 2025","Near Somatane Phata, Old Highway, Pune, Maharashtra, India"
Pedestrian Fatality (Akurdi),"Aug 22, 2025","Near Akurdi Railway Station, Pune, Maharashtra, India"
Scooter vs PMPML Bus (Old City),"Aug 10, 2025","Near Shaniwar Wada, Pune, Maharashtra, India"
Car vs Electric Pole (Balewadi),"Jul 28, 2025","Balewadi High Street, Pune, Maharashtra, India"
Delivery Executive Fatality (Viman Nagar),"Jul 15, 2025","Near Symbiosis Law School, Pune, Maharashtra, India"
Hit-and-Run (Night Patrol Victim),"Jun 30, 2025","Baner-Pashan Link Road, Pune, Maharashtra, India"
Heavy Vehicle Peak Hour Crash,"Jun 18, 2025","Chandni Chowk, Pune, Maharashtra, India"
Two-Wheeler Skid on Oil Spill,"Jun 05, 2025","Magarpatta City Main Road, Pune, Maharashtra, India"
MSRTC Bus vs Private Car (Hadapsar),"May 25, 2025","Pune-Solapur Highway, Pune, Maharashtra, India"
Speeding Sedan Median Crash,"May 12, 2025","Karve Road, near Deccan, Pune, Maharashtra, India"
Dumper Truck vs Cyclist (Chakan),"May 01, 2025","Chakan-Ambethan Road, Pune, Maharashtra, India"
SUV vs Auto Rickshaw (Swargate),"Apr 20, 2025","Swargate Underpass, Pune, Maharashtra, India"
Motorcycle vs Divider (Model Colony),"Apr 05, 2025","Near Deep Bungalow Chowk, Pune, Maharashtra, India"
Truck Overturn (Ambegaon),"Mar 25, 2025","Near Ambegaon, Bypass Highway, Pune, Maharashtra, India"
Pedestrian Hit (Elderly Woman),"Mar 12, 2025","JM Road near Bal Gandharva, Pune, Maharashtra, India"
Car Plunges into Canal (Lonikand),"Mar 02, 2025","Lonikand-Shikrapur Road, Pune, Maharashtra, India"
Two-Wheeler Run Over by Tanker,"Feb 20, 2025","Moshi High Street, Pune, Maharashtra, India"
Hit-and-Run (Morning Walker),"Feb 05, 2025","Koregaon Park Lane 1, Pune, Maharashtra, India"
Highway Barrier Crash (Khalapur),"Jan 25, 2025","Khalapur Section (Pune side), Maharashtra, India"
Wrong Side Bike Collision (Hinjewadi),"Jan 10, 2025","Hinjewadi Phase 3 Road, Pune, Maharashtra, India"
Drunk Driving Fatality (Camp),"Dec 28, 2024","Near West End Cinema, Camp, Pune, Maharashtra, India"
