title,date,location,year,month,season,lat,lon
Bavdhan Flyover Sedan Barrier Hit,2024-10-25,"Mumbai-Bengaluru Highway, Bavdhan, Pune, Maharashtra, India",2024,10,Winter,18.5180063,73.7689289
Pimpri Grade Separator Truck-Bike,2023-12-30,"Grade Separator, Pimpri, Pune, Maharashtra, India",2023,12,Winter,18.6263131,73.805498
Katraj-Kondhwa Road Bus Median Hit,2023-07-12,"Near Tilekar Nagar, Kondhwa, Pune, Maharashtra, India",2023,7,Monsoon,18.4470441,73.8816001
Lonavala Exit Private Bus Overturn,2024-08-28,"Mumbai-Pune Expressway, Lonavala, Pune, Maharashtra, India",2024,8,Monsoon,18.7661274,73.4115775
Shaniwar Wada PMPML Brake Failure,2023-06-02,"Shivaji Road, Shaniwar Wada, Pune, Maharashtra, India",2023,6,Monsoon,18.5195841,73.85542079999999
Khadki Underpass Scooter Trap,2022-06-15,"Khadki Railway Underpass, Pune, Maharashtra, India",2022,6,Monsoon,18.5631806,73.8406198
Punawale Underpass Heavy Vehicle Jam,2025-07-30,"Punawale-Highway Underpass, Pune, Maharashtra, India",2025,7,Monsoon,18.6342976,73.7408248
Talawade-Triveni Nagar Truck Crash,2026-01-14,"Triveni Nagar Chowk, Nigdi-Talawade, Pune, Maharashtra, India",2026,1,Winter,18.6685177,73.7856865
Viman Nagar Audi Hit-and-Run,2024-10-12,"Mundhwa-Koregaon Park Road, Pune, Maharashtra, India",2024,10,Winter,18.5343675,73.8856909
Urse Toll Plaza Pileup (Fog),2025-12-20,"Mumbai-Pune Expressway, Urse, Pune, Maharashtra, India",2025,12,Winter,18.7157143,73.6416542
University Chowk Pedestrian Hit,2026-02-02,"Aundh Road-University Junction, Pune, Maharashtra, India",2026,2,Winter,18.5627653,73.8266073
Saswad-Jejuri Rural Jeep Crash,2024-12-15,"Jejuri Road, Saswad, Pune, Maharashtra, India",2024,12,Winter,18.4842269,73.95366
Tamhini Ghat SUV Gorge Fall,2025-12-05,"Tamhini Ghat Main Curve, Mulshi, Pune, Maharashtra, India",2025,12,Winter,18.4759109,73.45924169999999
Koregaon Park Tree Fall Fatality,2025-08-12,"North Main Road, Koregaon Park, Pune, Maharashtra, India",2025,8,Monsoon,18.539518,73.89457
Pashan-Sus Road High Speed Crash,2025-11-30,"Pashan-Sus Link Road, Pune, Maharashtra, India",2025,11,Winter,18.5426508,73.7899978
Bibwewadi Senior Citizen Hit,2024-07-15,"Bibwewadi-Kondhwa Road, Pune, Maharashtra, India",2024,7,Monsoon,18.4816683,73.8761181
Moshi Alandi Road SUV vs Rickshaw,2026-01-10,"Moshi-Alandi Road, Pimpri-Chinchwad, Pune, Maharashtra, India",2026,1,Winter,18.6773435,73.862843
Warje Flyover Night Speeding Crash,2025-01-10,"Mumbai-Bengaluru Highway, Warje, Pune, Maharashtra, India",2025,1,Winter,18.4858575,73.7977251
S.B. Road Luxury Sedan Divider Hit,2025-11-15,"Senapati Bapat Road, Near Marriott, Pune, Maharashtra, India",2025,11,Winter,18.5304378,73.8299152
Katraj Tunnel MSRTC Median Crash,2026-01-05,"Katraj Tunnel Approach, Pune, Maharashtra, India",2026,1,Winter,18.4004638,73.8498874
Balewadi High Street Electric Pole Hit,2025-07-28,"Balewadi High Street, Pune, Maharashtra, India",2025,7,Monsoon,18.5686574,73.7752909
Dhayari Phata School Van Collision,2025-08-05,"Sinhagad Road, Dhayari, Pune, Maharashtra, India",2025,8,Monsoon,18.4606623,73.8123814
Loni Kalbhor Canal Road Car Plunge,2025-09-15,"Loni Kalbhor Canal, Pune, Maharashtra, India",2025,9,Monsoon,18.5327354,73.8440761
Model Colony Deep Bungalow Hit,2025-05-25,"Deep Bungalow Chowk, Pune, Maharashtra, India",2025,5,Summer,18.5297503,73.835741
Wadgaon Sheri Bridge Pillar Hit,2023-03-15,"Pune-Ahmednagar Road, Wadgaon Sheri, Pune, Maharashtra, India",2023,3,Summer,18.5608041,73.9181975
Bhor Varandha Ghat Bus Overturn,2023-10-10,"Varandha Ghat Road, Bhor, Pune, Maharashtra, India",2023,10,Winter,18.1111733,73.6670292
Kalyani Nagar Lane 7 Drunk Crash,2022-12-15,"Lane 7, Kalyani Nagar, Pune, Maharashtra, India",2022,12,Winter,18.5381771,73.8996985
New Sangvi Famous Chowk Rickshaw,2022-10-10,"New Sangvi, Pune, Maharashtra, India",2022,10,Winter,18.5793178,73.8142604
Hinjewadi Phase 3 Wrong Side Car,2025-01-10,"Phase 3 Main Road, Hinjewadi, Pune, Maharashtra, India",2025,1,Winter,18.623236,73.8695379
Fatima Nagar Chowk Sedan vs Auto,2023-04-25,"Solapur Road, Fatima Nagar, Pune, Maharashtra, India",2023,4,Summer,18.5064079,73.9052922
Kamshet Tunnel Rear-end Collision,2024-12-12,"Mumbai-Pune Expressway, Kamshet, Pune, Maharashtra, India",2024,12,Winter,18.7693125,73.4043386
Chakan-Talegaon Road Tanker Hit,2025-02-05,"Talegaon Road, Chakan, Pune, Maharashtra, India",2025,2,Winter,18.7386836,73.7529882
Manjari Phata Tanker vs Car,2023-01-30,"Pune-Solapur Road, Manjari, Pune, Maharashtra, India",2023,1,Winter,18.1636098,74.9612757
Rakshak Chowk Fog Induced Skid,2023-01-15,"Pimple Saudagar, Pune, Maharashtra, India",2023,1,Winter,18.5986763,73.79783479999999
Pirangut Road Ditch Plunge,2022-11-15,"Mulshi-Pirangut Road, Pune, Maharashtra, India",2022,11,Winter,18.5126904,73.6795585
Sangamwadi Bridge Wall Collision,2025-10-25,"Sangamwadi-Yerawada Bridge, Pune, Maharashtra, India",2025,10,Winter,18.5420178,73.8852113
Khandala Ghat Tanker Gas Leak,2026-02-04,"Expressway Ghat Section, Pune, Maharashtra, India",2026,2,Winter,18.5175304,73.8631881
Nalge Vasti Shirur Truck-Car,2026-02-14,"Nhavare-Chaufula Road, Shirur, Pune, Maharashtra, India",2026,2,Winter,18.6627708,74.369084
Wagholi Phata Triple Fatality,2026-02-01,"Pune-Ahmednagar Road, Wagholi, Pune, Maharashtra, India",2026,2,Winter,18.5791693,73.9736629
Phase 3 Flyover IT Biker Skid,2026-01-15,"Hinjewadi Flyover, Pune, Maharashtra, India",2026,1,Winter,18.5925431,73.7572568
Pune-Nashik Highway Wrong-Side,2025-12-08,"Bhosari Sector, Pune-Nashik Road, Pune, Maharashtra, India",2025,12,Winter,18.6182375,73.8368617
Phursungi IT Park Dumper-Bicycle,2025-11-22,"Phursungi Main Road, Pune, Maharashtra, India",2025,11,Winter,18.4823192,73.9587208
Hadapsar-Solapur Tempo Overtake,2025-11-05,"Solapur Highway, Hadapsar, Pune, Maharashtra, India",2025,11,Winter,18.5010857,73.9365251
Nal Stop Chowk Garbage Compactor,2025-10-18,"Karve Road, Pune, Maharashtra, India",2025,10,Winter,18.5032615,73.8198444
Khed Shivapur Tanker-Bus Head-on,2025-10-10,"Pune-Satara Road, Khed Shivapur, Pune, Maharashtra, India",2025,10,Winter,18.1190362,73.9872126
Phoenix Mall Viman Nagar Hit,2025-09-28,"Viman Nagar, Pune, Maharashtra, India",2025,9,Monsoon,18.5678553,73.9143637
Keshav Nagar Pothole Fall,2025-08-30,"Mundhwa-Manjari Road, Pune, Maharashtra, India",2025,8,Monsoon,18.530602,73.9423116
Chikhali Indramani Bridge Crash,2025-06-16,"Chikhali-Pimpri Road, Pune, Maharashtra, India",2025,6,Monsoon,18.6824723,73.8196095
Magarpatta North Gate Oil Spill,2025-06-10,"Magarpatta City, Hadapsar, Pune, Maharashtra, India",2025,6,Monsoon,18.5158057,73.9271644
Borghat Container Jackknife,2025-05-15,"Expressway Ghats, Pune-Mumbai, Maharashtra, India",2025,5,Summer,18.9581934,72.8320729
Lexicon School Wagholi Dumper,2025-05-02,"Nagar Road, Wagholi, Pune, Maharashtra, India",2025,5,Summer,18.5770093,73.968678
Pimple Saudagar Electric Pole Hit,2025-04-20,"Shivar Garden Road, Pune, Maharashtra, India",2025,4,Summer,18.5949626,73.7860994
Swargate Bus Stand Auto Overturn,2025-04-10,"Satara Road Exit, Swargate, Pune, Maharashtra, India",2025,4,Summer,18.499538,73.8585313
Baner Phata Peak-Hour Truck Hit,2025-03-25,"Baner Main Road, Pune, Maharashtra, India",2025,3,Summer,18.5579383,73.7929099
Landewadi Chowk Pedestrian Hit,2025-02-28,"Bhosari, Pune, Maharashtra, India",2025,2,Winter,18.6320627,73.84679779999999
Goodluck Chowk FC Road Drunk Crash,2025-02-18,"Fergusson College Road, Pune, Maharashtra, India",2025,2,Winter,18.5175004,73.8416168
Yavat SUV Overtake Crash,2025-01-22,"Pune-Solapur Highway, Yavat, Pune, Maharashtra, India",2025,1,Winter,18.4756082,74.2723261
Race Course Road Hit-and-Run,2024-12-30,"Camp Area, Pune, Maharashtra, India",2024,12,Winter,18.5258288,73.88056809999999
Ambegaon Drunk Driver Food Stall,2024-12-22,"Katraj-Dehu Road Bypass, Pune, Maharashtra, India",2024,12,Winter,18.5057992,73.7920547
Vishrantwadi Chowk Bus Fatality,2024-11-30,"Alandi Road Junction, Pune, Maharashtra, India",2024,11,Winter,18.626787,73.8639652
Kalyani Nagar Porsche Crash,2024-05-19,"Kalyani Nagar Junction, Pune, Maharashtra, India",2024,5,Summer,18.5510173,73.9130251
Paud Road Bhugaon Head-on,2024-09-15,"Paud Road, Mulshi, Pune, Maharashtra, India",2024,9,Monsoon,18.5073253,73.7882575
Law College Road Wet Skid,2024-08-20,"Law College Road, Pune, Maharashtra, India",2024,8,Monsoon,18.5142526,73.8287151
Alandi Road Kalas Dumper Hit,2024-08-10,"Alandi Road, Kalas, Pune, Maharashtra, India",2024,8,Monsoon,18.5871025,73.8752157
World Trade Center Kharadi Crash,2024-07-25,"Mundhwa-Kharadi Road, Pune, Maharashtra, India",2024,7,Monsoon,18.5324891,73.9328965
Amrutanjan Bridge Tanker Overturn,2024-06-30,"Expressway Ghat, Pune side, Maharashtra, India",2024,6,Monsoon,18.5150696,73.9023924
Sangamwadi-Yerawada Bridge Plunge,2024-05-10,"Sangamwadi, Pune, Maharashtra, India",2024,5,Summer,18.5349529,73.87618909999999
Shikrapur Nagar Road Truck-Car,2024-04-30,"Pune-Ahmednagar Road, Shikrapur, Pune, Maharashtra, India",2024,4,Summer,18.5621306,73.923209
Jedhe Chowk Bus vs Rickshaw,2024-03-30,"Swargate, Pune, Maharashtra, India",2024,3,Summer,18.5018322,73.8635912
Balajinagar Hit-and-Run,2024-03-20,"Satara Road, Pune, Maharashtra, India",2024,3,Summer,18.4775848,73.8572753
Chakan-Ambethan Two-Wheeler Hit,2024-02-22,"Chakan Industrial Zone, Pune, Maharashtra, India",2024,2,Winter,18.5200229,73.851463
Pune Station Auto Overturn,2024-01-28,"Main Exit, Pune Railway Station, Pune, Maharashtra, India",2024,1,Winter,18.5284242,73.87386459999999
Shivaji Chowk Hinjewadi Wrong-Side,2024-01-15,"Phase 1, Hinjewadi, Pune, Maharashtra, India",2024,1,Winter,18.5904779,73.7271909
